Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2011-10-28-024-XXIV-NRSITZ-00129	ParlaMint-AT_2011-10-28-024-XXIV-NRSITZ-00129_d7e352	Sitting Number 129, Legislative period XXIV, Friday, 28. October 2011	2011-10-28	Lower house	Legislative period XXIV	-	-	Sitting 129	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2011-10-28-024-XXIV-NRSITZ-00129	ParlaMint-AT_2011-10-28-024-XXIV-NRSITZ-00129_d7e383	Sitting Number 129, Legislative period XXIV, Friday, 28. October 2011	2011-10-28	Lower house	Legislative period XXIV	-	-	Sitting 129	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2011-10-28-024-XXIV-NRSITZ-00129	ParlaMint-AT_2011-10-28-024-XXIV-NRSITZ-00129_d7e511	Sitting Number 129, Legislative period XXIV, Friday, 28. October 2011	2011-10-28	Lower house	Legislative period XXIV	-	-	Sitting 129	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
