Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-11-16-lower	ParlaMint-NO_2001-11-16-lower.ana.ud19e31	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-16	2001-11-16	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-16	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2001-11-16-lower	ParlaMint-NO_2001-11-16-lower.ana.ud19e34	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-16	2001-11-16	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-16	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JIA	Alvheim, John I.	M	1930	
ParlaMint-NO-en_2001-11-16-lower	ParlaMint-NO_2001-11-16-lower.ana.ud19e39	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-16	2001-11-16	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-16	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2001-11-16-lower	ParlaMint-NO_2001-11-16-lower.ana.ud19e53	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-16	2001-11-16	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-16	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2001-11-16-lower	ParlaMint-NO_2001-11-16-lower.ana.ud19e172	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-16	2001-11-16	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-16	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2001-11-16-lower	ParlaMint-NO_2001-11-16-lower.ana.ud19e182	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-16	2001-11-16	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-16	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
