Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-12-18-upper	ParlaMint-NO_2001-12-18-upper.ana.ud647e78	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-18	2001-12-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-12-18-upper	ParlaMint-NO_2001-12-18-upper.ana.ud647e92	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-18	2001-12-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-12-18-upper	ParlaMint-NO_2001-12-18-upper.ana.ud647e116	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-18	2001-12-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-12-18-upper	ParlaMint-NO_2001-12-18-upper.ana.ud647e141	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-18	2001-12-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-12-18-upper	ParlaMint-NO_2001-12-18-upper.ana.ud647e157	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-18	2001-12-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-18	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2001-12-18-upper	ParlaMint-NO_2001-12-18-upper.ana.ud647e168	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-18	2001-12-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-12-18-upper	ParlaMint-NO_2001-12-18-upper.ana.ud647e179	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-18	2001-12-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-12-18-upper	ParlaMint-NO_2001-12-18-upper.ana.ud647e193	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-18	2001-12-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-12-18-upper	ParlaMint-NO_2001-12-18-upper.ana.ud647e209	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-18	2001-12-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-12-18-upper	ParlaMint-NO_2001-12-18-upper.ana.ud647e225	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-18	2001-12-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-12-18-upper	ParlaMint-NO_2001-12-18-upper.ana.ud647e241	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-18	2001-12-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
