Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-02-20-upper	ParlaMint-NO_2001-02-20-upper.ana.ud65e57	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-20	2001-02-20	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-20	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-02-20-upper	ParlaMint-NO_2001-02-20-upper.ana.ud65e69	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-20	2001-02-20	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-20	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-02-20-upper	ParlaMint-NO_2001-02-20-upper.ana.ud65e83	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-20	2001-02-20	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-20	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-02-20-upper	ParlaMint-NO_2001-02-20-upper.ana.ud65e97	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-20	2001-02-20	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-20	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-02-20-upper	ParlaMint-NO_2001-02-20-upper.ana.ud65e111	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-20	2001-02-20	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-20	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-02-20-upper	ParlaMint-NO_2001-02-20-upper.ana.ud65e125	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-20	2001-02-20	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-20	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
