Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-10-01	ParlaMint-NO_2001-10-01.ana.ud1995e2435	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-10-01	2001-10-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-10-01	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-10-01	ParlaMint-NO_2001-10-01.ana.ud1995e2447	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-10-01	2001-10-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-10-01	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-10-01	ParlaMint-NO_2001-10-01.ana.ud1995e2460	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-10-01	2001-10-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-10-01	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-10-01	ParlaMint-NO_2001-10-01.ana.ud1995e2517	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-10-01	2001-10-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-10-01	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-10-01	ParlaMint-NO_2001-10-01.ana.ud1995e2522	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-10-01	2001-10-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-10-01	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-10-01	ParlaMint-NO_2001-10-01.ana.ud1995e2543	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-10-01	2001-10-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-10-01	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
