Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-11-29	ParlaMint-NO_2001-11-29.ana.ud2573e36	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-29	2001-11-29	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-29	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2001-11-29	ParlaMint-NO_2001-11-29.ana.ud2573e86	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-29	2001-11-29	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-29	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.BJØB	Brende, Børge	M	1965	
ParlaMint-NO-en_2001-11-29	ParlaMint-NO_2001-11-29.ana.ud2573e178	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-29	2001-11-29	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-29	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2001-11-29	ParlaMint-NO_2001-11-29.ana.ud2573e183	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-29	2001-11-29	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-29	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SKB	Brustad, Sylvia	F	1966	
ParlaMint-NO-en_2001-11-29	ParlaMint-NO_2001-11-29.ana.ud2573e200	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-29	2001-11-29	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-29	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.SME	Meling, Siri A.	F	1963	
ParlaMint-NO-en_2001-11-29	ParlaMint-NO_2001-11-29.ana.ud2573e227	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-29	2001-11-29	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-29	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.OYK	Korsberg, Øyvind	M	1960	
ParlaMint-NO-en_2001-11-29	ParlaMint-NO_2001-11-29.ana.ud2573e248	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-29	2001-11-29	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-29	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.INVM	Malvik, Ingvild Vaggen	F	1971	
ParlaMint-NO-en_2001-11-29	ParlaMint-NO_2001-11-29.ana.ud2573e277	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-29	2001-11-29	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-29	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.BYR	Rahm, Bror Yngve	M	1955	
ParlaMint-NO-en_2001-11-29	ParlaMint-NO_2001-11-29.ana.ud2573e298	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-29	2001-11-29	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-29	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.BJØB	Brende, Børge	M	1965	
ParlaMint-NO-en_2001-11-29	ParlaMint-NO_2001-11-29.ana.ud2573e319	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-29	2001-11-29	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-29	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2001-11-29	ParlaMint-NO_2001-11-29.ana.ud2573e335	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-29	2001-11-29	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-29	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
