Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-05-14-lower-2	ParlaMint-NO_2001-05-14-lower-2.ana.ud1437e24	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-05-14	2001-05-14	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-05-14	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ML	Lund, Morten	M	1945	
ParlaMint-NO-en_2001-05-14-lower-2	ParlaMint-NO_2001-05-14-lower-2.ana.ud1437e27	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-05-14	2001-05-14	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-05-14	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.ADV	Duesund, Åse Gunhild Woie	F	1944	
ParlaMint-NO-en_2001-05-14-lower-2	ParlaMint-NO_2001-05-14-lower-2.ana.ud1437e32	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-05-14	2001-05-14	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-05-14	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ML	Lund, Morten	M	1945	
