Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-04-05-upper	ParlaMint-NO_2001-04-05-upper.ana.ud947e87	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-04-05-upper	ParlaMint-NO_2001-04-05-upper.ana.ud947e101	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-04-05-upper	ParlaMint-NO_2001-04-05-upper.ana.ud947e115	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-04-05-upper	ParlaMint-NO_2001-04-05-upper.ana.ud947e129	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-04-05-upper	ParlaMint-NO_2001-04-05-upper.ana.ud947e143	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_2001-04-05-upper	ParlaMint-NO_2001-04-05-upper.ana.ud947e156	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-04-05-upper	ParlaMint-NO_2001-04-05-upper.ana.ud947e166	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-04-05-upper	ParlaMint-NO_2001-04-05-upper.ana.ud947e178	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_2001-04-05-upper	ParlaMint-NO_2001-04-05-upper.ana.ud947e189	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-04-05-upper	ParlaMint-NO_2001-04-05-upper.ana.ud947e199	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-04-05-upper	ParlaMint-NO_2001-04-05-upper.ana.ud947e211	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_2001-04-05-upper	ParlaMint-NO_2001-04-05-upper.ana.ud947e283	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-04-05-upper	ParlaMint-NO_2001-04-05-upper.ana.ud947e286	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PEM	Monsen, Per Erik	M	1946	
ParlaMint-NO-en_2001-04-05-upper	ParlaMint-NO_2001-04-05-upper.ana.ud947e297	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-04-05-upper	ParlaMint-NO_2001-04-05-upper.ana.ud947e317	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-05	2001-04-05	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-05	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
