Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-11-09	ParlaMint-NO_2001-11-09.ana.ud2336e23	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-09	2001-11-09	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2001-11-09	ParlaMint-NO_2001-11-09.ana.ud2336e26	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-09	2001-11-09	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-09	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2001-11-09	ParlaMint-NO_2001-11-09.ana.ud2336e31	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-09	2001-11-09	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2001-11-09	ParlaMint-NO_2001-11-09.ana.ud2336e36	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-09	2001-11-09	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-09	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.MAA	Arnstad, Marit	F	1962	
ParlaMint-NO-en_2001-11-09	ParlaMint-NO_2001-11-09.ana.ud2336e41	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-09	2001-11-09	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2001-11-09	ParlaMint-NO_2001-11-09.ana.ud2336e44	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-09	2001-11-09	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-09	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ML	Lund, Morten	M	1945	
ParlaMint-NO-en_2001-11-09	ParlaMint-NO_2001-11-09.ana.ud2336e49	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-09	2001-11-09	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2001-11-09	ParlaMint-NO_2001-11-09.ana.ud2336e52	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-09	2001-11-09	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-09	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.INGR	Ryan, Inge	M	1956	
ParlaMint-NO-en_2001-11-09	ParlaMint-NO_2001-11-09.ana.ud2336e58	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-09	2001-11-09	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2001-11-09	ParlaMint-NO_2001-11-09.ana.ud2336e70	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-09	2001-11-09	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-09	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2001-11-09	ParlaMint-NO_2001-11-09.ana.ud2336e148	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-11-09	2001-11-09	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-11-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
