Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-10-08	ParlaMint-NO_2001-10-08.ana.ud2442e25	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-10-08	2001-10-08	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-10-08	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-10-08	ParlaMint-NO_2001-10-08.ana.ud2442e112	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-10-08	2001-10-08	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-10-08	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-10-08	ParlaMint-NO_2001-10-08.ana.ud2442e141	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-10-08	2001-10-08	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-10-08	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2001-10-08	ParlaMint-NO_2001-10-08.ana.ud2442e192	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-10-08	2001-10-08	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-10-08	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
