Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-01-25-lower	ParlaMint-NO_2001-01-25-lower.ana.ud228e39	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-25	2001-01-25	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-25	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SKO	Konglevoll, Synnøve	F	1972	
ParlaMint-NO-en_2001-01-25-lower	ParlaMint-NO_2001-01-25-lower.ana.ud228e58	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-25	2001-01-25	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-25	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2001-01-25-lower	ParlaMint-NO_2001-01-25-lower.ana.ud228e66	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-25	2001-01-25	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-25	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2001-01-25-lower	ParlaMint-NO_2001-01-25-lower.ana.ud228e99	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-25	2001-01-25	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-25	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2001-01-25-lower	ParlaMint-NO_2001-01-25-lower.ana.ud228e108	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-25	2001-01-25	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-25	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
