Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-10-17	ParlaMint-NO_2001-10-17.ana.ud1861e36	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-10-17	2001-10-17	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-10-17	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2001-10-17	ParlaMint-NO_2001-10-17.ana.ud1861e41	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-10-17	2001-10-17	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-10-17	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.MMK	Kleppa, Magnhild Meltveit	F	1948	
ParlaMint-NO-en_2001-10-17	ParlaMint-NO_2001-10-17.ana.ud1861e46	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-10-17	2001-10-17	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-10-17	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2001-10-17	ParlaMint-NO_2001-10-17.ana.ud1861e49	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-10-17	2001-10-17	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-10-17	-	Reference	English	Regular	MP	notMinister	A	Kystpartiet	-	Centre-left	person.SEBA	Bastesen, Steinar	M	1945	
ParlaMint-NO-en_2001-10-17	ParlaMint-NO_2001-10-17.ana.ud1861e62	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-10-17	2001-10-17	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-10-17	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2001-10-17	ParlaMint-NO_2001-10-17.ana.ud1861e70	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-10-17	2001-10-17	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-10-17	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JES	Stoltenberg, Jens	M	1959	
ParlaMint-NO-en_2001-10-17	ParlaMint-NO_2001-10-17.ana.ud1861e75	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-10-17	2001-10-17	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-10-17	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
