Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-06-15-upper	ParlaMint-NO_2001-06-15-upper.ana.ud1602e69	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-06-15	2001-06-15	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-06-15	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_2001-06-15-upper	ParlaMint-NO_2001-06-15-upper.ana.ud1602e107	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-06-15	2001-06-15	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-06-15	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-06-15-upper	ParlaMint-NO_2001-06-15-upper.ana.ud1602e117	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-06-15	2001-06-15	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-06-15	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-06-15-upper	ParlaMint-NO_2001-06-15-upper.ana.ud1602e129	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-06-15	2001-06-15	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-06-15	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_2001-06-15-upper	ParlaMint-NO_2001-06-15-upper.ana.ud1602e144	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-06-15	2001-06-15	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-06-15	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-06-15-upper	ParlaMint-NO_2001-06-15-upper.ana.ud1602e154	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-06-15	2001-06-15	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-06-15	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-06-15-upper	ParlaMint-NO_2001-06-15-upper.ana.ud1602e166	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-06-15	2001-06-15	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-06-15	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-06-15-upper	ParlaMint-NO_2001-06-15-upper.ana.ud1602e180	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-06-15	2001-06-15	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-06-15	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
