Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-03-15-lower	ParlaMint-NO_2001-03-15-lower.ana.ud964e39	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-03-15	2001-03-15	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-03-15	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.ARN	Næss, Are	M	1942	
ParlaMint-NO-en_2001-03-15-lower	ParlaMint-NO_2001-03-15-lower.ana.ud964e66	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-03-15	2001-03-15	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-03-15	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KAAN	Andersen, Karin	F	1952	
ParlaMint-NO-en_2001-03-15-lower	ParlaMint-NO_2001-03-15-lower.ana.ud964e83	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-03-15	2001-03-15	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-03-15	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2001-03-15-lower	ParlaMint-NO_2001-03-15-lower.ana.ud964e91	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-03-15	2001-03-15	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-03-15	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
