Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-02-13-lower	ParlaMint-NO_2001-02-13-lower.ana.ud551e34	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-13	2001-02-13	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-13	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2001-02-13-lower	ParlaMint-NO_2001-02-13-lower.ana.ud551e93	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-13	2001-02-13	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-13	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2001-02-13-lower	ParlaMint-NO_2001-02-13-lower.ana.ud551e101	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-13	2001-02-13	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-13	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2001-02-13-lower	ParlaMint-NO_2001-02-13-lower.ana.ud551e110	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-13	2001-02-13	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-13	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
