Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e56	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e63	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.CD	Dybevig, Carsten	M	1963	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e82	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Regular	MP	Minister	V	Venstre	Coalition	Centre	person.ODDØ	Dørum, Odd Einar	M	1943	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e95	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HAE	Espelund, Harald	M	1948	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e113	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e129	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e145	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e154	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TG	Giske, Trond	M	1966	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e177	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KSW	Woldseth, Karin S.	F	1954	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e186	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.MEH	Hansen, May	F	1953	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e203	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ESO	Øveraas, Eli Sollied	F	1949	
ParlaMint-NO-en_2001-12-13-lower	ParlaMint-NO_2001-12-13-lower.ana.ud1607e210	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2001-12-13	2001-12-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2001-12-13	-	Reference	English	Regular	notMP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.LD	Dåvøy, Laila	F	1948	
