Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-03-20-upper	ParlaMint-NO_2001-03-20-upper.ana.ud1499e62	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-03-20	2001-03-20	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-03-20	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2001-03-20-upper	ParlaMint-NO_2001-03-20-upper.ana.ud1499e76	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-03-20	2001-03-20	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-03-20	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.PETL	Løvik, Petter	M	1949	
ParlaMint-NO-en_2001-03-20-upper	ParlaMint-NO_2001-03-20-upper.ana.ud1499e88	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-03-20	2001-03-20	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-03-20	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2001-03-20-upper	ParlaMint-NO_2001-03-20-upper.ana.ud1499e98	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-03-20	2001-03-20	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-03-20	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2001-03-20-upper	ParlaMint-NO_2001-03-20-upper.ana.ud1499e110	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-03-20	2001-03-20	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-03-20	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
