Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-04-01-lower	ParlaMint-NO_2003-04-01-lower.ana.ud330e26	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-01	2003-04-01	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-01	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2003-04-01-lower	ParlaMint-NO_2003-04-01-lower.ana.ud330e45	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-01	2003-04-01	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-01	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2003-04-01-lower	ParlaMint-NO_2003-04-01-lower.ana.ud330e52	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-01	2003-04-01	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-01	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ODG	Gløtvold, Ola D.	M	1949	
ParlaMint-NO-en_2003-04-01-lower	ParlaMint-NO_2003-04-01-lower.ana.ud330e95	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-01	2003-04-01	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-01	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2003-04-01-lower	ParlaMint-NO_2003-04-01-lower.ana.ud330e104	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-01	2003-04-01	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-01	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2003-04-01-lower	ParlaMint-NO_2003-04-01-lower.ana.ud330e123	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-01	2003-04-01	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-01	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JIA	Alvheim, John I.	M	1930	
ParlaMint-NO-en_2003-04-01-lower	ParlaMint-NO_2003-04-01-lower.ana.ud330e134	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-01	2003-04-01	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-01	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2003-04-01-lower	ParlaMint-NO_2003-04-01-lower.ana.ud330e137	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-01	2003-04-01	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-01	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2003-04-01-lower	ParlaMint-NO_2003-04-01-lower.ana.ud330e148	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-01	2003-04-01	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-01	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.MAGA	Aarøen, Magne	M	1944	
ParlaMint-NO-en_2003-04-01-lower	ParlaMint-NO_2003-04-01-lower.ana.ud330e161	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-01	2003-04-01	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-01	-	Reference	English	Regular	notMP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.DH	Høybråten, Dagfinn	M	1957	
ParlaMint-NO-en_2003-04-01-lower	ParlaMint-NO_2003-04-01-lower.ana.ud330e174	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-01	2003-04-01	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-01	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2003-04-01-lower	ParlaMint-NO_2003-04-01-lower.ana.ud330e178	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-01	2003-04-01	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-01	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ODG	Gløtvold, Ola D.	M	1949	
ParlaMint-NO-en_2003-04-01-lower	ParlaMint-NO_2003-04-01-lower.ana.ud330e189	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-01	2003-04-01	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-01	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2003-04-01-lower	ParlaMint-NO_2003-04-01-lower.ana.ud330e197	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-01	2003-04-01	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-01	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2003-04-01-lower	ParlaMint-NO_2003-04-01-lower.ana.ud330e204	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-01	2003-04-01	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-01	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2003-04-01-lower	ParlaMint-NO_2003-04-01-lower.ana.ud330e268	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-01	2003-04-01	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-01	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2003-04-01-lower	ParlaMint-NO_2003-04-01-lower.ana.ud330e306	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-01	2003-04-01	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-01	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
