Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-12-09-upper	ParlaMint-NO_2003-12-09-upper.ana.ud1341e161	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-09	2003-12-09	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-09	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-12-09-upper	ParlaMint-NO_2003-12-09-upper.ana.ud1341e177	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-09	2003-12-09	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-09	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-12-09-upper	ParlaMint-NO_2003-12-09-upper.ana.ud1341e193	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-09	2003-12-09	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-09	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-12-09-upper	ParlaMint-NO_2003-12-09-upper.ana.ud1341e209	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-09	2003-12-09	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-09	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-12-09-upper	ParlaMint-NO_2003-12-09-upper.ana.ud1341e225	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-09	2003-12-09	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-09	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-12-09-upper	ParlaMint-NO_2003-12-09-upper.ana.ud1341e241	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-09	2003-12-09	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-09	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-12-09-upper	ParlaMint-NO_2003-12-09-upper.ana.ud1341e257	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-09	2003-12-09	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-09	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-12-09-upper	ParlaMint-NO_2003-12-09-upper.ana.ud1341e273	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-09	2003-12-09	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-09	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-12-09-upper	ParlaMint-NO_2003-12-09-upper.ana.ud1341e289	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-09	2003-12-09	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-09	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-12-09-upper	ParlaMint-NO_2003-12-09-upper.ana.ud1341e306	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-09	2003-12-09	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-09	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-12-09-upper	ParlaMint-NO_2003-12-09-upper.ana.ud1341e322	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-09	2003-12-09	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-09	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
