Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-02-27-upper	ParlaMint-NO_2003-02-27-upper.ana.ud2262e106	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-02-27-upper	ParlaMint-NO_2003-02-27-upper.ana.ud2262e122	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.SIM	Molvik, Sigbjørn	M	1950	
ParlaMint-NO-en_2003-02-27-upper	ParlaMint-NO_2003-02-27-upper.ana.ud2262e139	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-02-27-upper	ParlaMint-NO_2003-02-27-upper.ana.ud2262e155	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-02-27-upper	ParlaMint-NO_2003-02-27-upper.ana.ud2262e171	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-02-27-upper	ParlaMint-NO_2003-02-27-upper.ana.ud2262e187	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-02-27-upper	ParlaMint-NO_2003-02-27-upper.ana.ud2262e203	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-02-27-upper	ParlaMint-NO_2003-02-27-upper.ana.ud2262e219	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-02-27-upper	ParlaMint-NO_2003-02-27-upper.ana.ud2262e235	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-02-27-upper	ParlaMint-NO_2003-02-27-upper.ana.ud2262e251	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-02-27-upper	ParlaMint-NO_2003-02-27-upper.ana.ud2262e268	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
