Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-03-03	ParlaMint-NO_2003-03-03.ana.ud733e32	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-03-03	ParlaMint-NO_2003-03-03.ana.ud733e73	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-03-03	ParlaMint-NO_2003-03-03.ana.ud733e87	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.VB	Bjørnstad, Vidar	M	1955	
ParlaMint-NO-en_2003-03-03	ParlaMint-NO_2003-03-03.ana.ud733e96	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.AESO	Sortevik, Arne	M	1947	
ParlaMint-NO-en_2003-03-03	ParlaMint-NO_2003-03-03.ana.ud733e109	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-03-03	ParlaMint-NO_2003-03-03.ana.ud733e112	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Regular	MP	notMinister	V	Venstre	Coalition	Centre	person.TSG	Grande, Trine Skei	F	1969	
ParlaMint-NO-en_2003-03-03	ParlaMint-NO_2003-03-03.ana.ud733e121	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-03-03	ParlaMint-NO_2003-03-03.ana.ud733e137	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HHL	Langeland, Hallgeir H.	M	1955	
ParlaMint-NO-en_2003-03-03	ParlaMint-NO_2003-03-03.ana.ud733e152	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-03-03	ParlaMint-NO_2003-03-03.ana.ud733e160	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-03-03	ParlaMint-NO_2003-03-03.ana.ud733e167	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-03	2003-03-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-03	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
