Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-10-16-lower	ParlaMint-NO_2003-10-16-lower.ana.ud1429e25	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-10-16	2003-10-16	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-10-16	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2003-10-16-lower	ParlaMint-NO_2003-10-16-lower.ana.ud1429e28	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-10-16	2003-10-16	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-10-16	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TG	Giske, Trond	M	1966	
ParlaMint-NO-en_2003-10-16-lower	ParlaMint-NO_2003-10-16-lower.ana.ud1429e33	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-10-16	2003-10-16	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-10-16	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
