Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-10-09	ParlaMint-NO_2003-10-09.ana.ud194e31	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-10-09	2003-10-09	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2003-10-09	ParlaMint-NO_2003-10-09.ana.ud194e72	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-10-09	2003-10-09	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-10-09	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2003-10-09	ParlaMint-NO_2003-10-09.ana.ud194e116	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-10-09	2003-10-09	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-10-09	-	Reference	English	Regular	MP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.VSH	Haugland, Valgerd Svarstad	F	1956	
ParlaMint-NO-en_2003-10-09	ParlaMint-NO_2003-10-09.ana.ud194e165	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-10-09	2003-10-09	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-10-09	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2003-10-09	ParlaMint-NO_2003-10-09.ana.ud194e182	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-10-09	2003-10-09	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-10-09	-	Reference	English	Regular	MP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.VSH	Haugland, Valgerd Svarstad	F	1956	
ParlaMint-NO-en_2003-10-09	ParlaMint-NO_2003-10-09.ana.ud194e195	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-10-09	2003-10-09	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-10-09	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2003-10-09	ParlaMint-NO_2003-10-09.ana.ud194e208	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-10-09	2003-10-09	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-10-09	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.OLET	Thommessen, Olemic	M	1956	
ParlaMint-NO-en_2003-10-09	ParlaMint-NO_2003-10-09.ana.ud194e221	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-10-09	2003-10-09	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-10-09	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2003-10-09	ParlaMint-NO_2003-10-09.ana.ud194e232	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-10-09	2003-10-09	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-10-09	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ESO	Øveraas, Eli Sollied	F	1949	
ParlaMint-NO-en_2003-10-09	ParlaMint-NO_2003-10-09.ana.ud194e249	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-10-09	2003-10-09	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-10-09	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2003-10-09	ParlaMint-NO_2003-10-09.ana.ud194e283	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-10-09	2003-10-09	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-10-09	-	Reference	English	Regular	MP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.VSH	Haugland, Valgerd Svarstad	F	1956	
