Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-04-10-2	ParlaMint-NO_2003-04-10-2.ana.ud2498e30	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-10	2003-04-10	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-10	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TOA	Andersen, Torbjørn	M	1957	
ParlaMint-NO-en_2003-04-10-2	ParlaMint-NO_2003-04-10-2.ana.ud2498e45	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-10	2003-04-10	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-10	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.IVO	Østberg, Ivar	M	1942	
ParlaMint-NO-en_2003-04-10-2	ParlaMint-NO_2003-04-10-2.ana.ud2498e60	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-10	2003-04-10	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-10	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KSP	Schjøtt-Pedersen, Karl Eirik	M	1959	
ParlaMint-NO-en_2003-04-10-2	ParlaMint-NO_2003-04-10-2.ana.ud2498e101	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-10	2003-04-10	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-10	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.JTS	Sanner, Jan Tore	M	1965	
ParlaMint-NO-en_2003-04-10-2	ParlaMint-NO_2003-04-10-2.ana.ud2498e121	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-10	2003-04-10	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2003-04-10-2	ParlaMint-NO_2003-04-10-2.ana.ud2498e137	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-10	2003-04-10	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-10	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TON	Nordtun, Tore	M	1949	
ParlaMint-NO-en_2003-04-10-2	ParlaMint-NO_2003-04-10-2.ana.ud2498e158	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-10	2003-04-10	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-10	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PEM	Monsen, Per Erik	M	1946	
ParlaMint-NO-en_2003-04-10-2	ParlaMint-NO_2003-04-10-2.ana.ud2498e167	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-10	2003-04-10	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-10	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PB	Bredvold, Per Roar	M	1957	
ParlaMint-NO-en_2003-04-10-2	ParlaMint-NO_2003-04-10-2.ana.ud2498e189	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-10	2003-04-10	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-10	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.THA	Hansen, Torbjørn	M	1972	
ParlaMint-NO-en_2003-04-10-2	ParlaMint-NO_2003-04-10-2.ana.ud2498e208	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-10	2003-04-10	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2003-04-10-2	ParlaMint-NO_2003-04-10-2.ana.ud2498e224	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-10	2003-04-10	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-10	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.THA	Hansen, Torbjørn	M	1972	
ParlaMint-NO-en_2003-04-10-2	ParlaMint-NO_2003-04-10-2.ana.ud2498e245	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-10	2003-04-10	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-10	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PEM	Monsen, Per Erik	M	1946	
ParlaMint-NO-en_2003-04-10-2	ParlaMint-NO_2003-04-10-2.ana.ud2498e256	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-10	2003-04-10	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-10	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TR	Rudihagen, Torstein	M	1951	
ParlaMint-NO-en_2003-04-10-2	ParlaMint-NO_2003-04-10-2.ana.ud2498e263	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-10	2003-04-10	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2003-04-10-2	ParlaMint-NO_2003-04-10-2.ana.ud2498e271	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-10	2003-04-10	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2003-04-10-2	ParlaMint-NO_2003-04-10-2.ana.ud2498e278	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-04-10	2003-04-10	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-04-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
