Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e165	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e179	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e195	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e211	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e227	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e243	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e259	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e275	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e291	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e307	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-06-17-upper	ParlaMint-NO_2003-06-17-upper.ana.ud268e324	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-06-17	2003-06-17	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
