Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-11-27-upper-2	ParlaMint-NO_2003-11-27-upper-2.ana.ud1068e80	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-11-27	2003-11-27	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-11-27	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2003-11-27-upper-2	ParlaMint-NO_2003-11-27-upper-2.ana.ud1068e96	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-11-27	2003-11-27	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-11-27	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2003-11-27-upper-2	ParlaMint-NO_2003-11-27-upper-2.ana.ud1068e112	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-11-27	2003-11-27	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-11-27	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2003-11-27-upper-2	ParlaMint-NO_2003-11-27-upper-2.ana.ud1068e128	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-11-27	2003-11-27	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-11-27	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2003-11-27-upper-2	ParlaMint-NO_2003-11-27-upper-2.ana.ud1068e144	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-11-27	2003-11-27	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-11-27	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
