Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-12-15-upper	ParlaMint-NO_2003-12-15-upper.ana.ud1945e91	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-15	2003-12-15	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-15	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-12-15-upper	ParlaMint-NO_2003-12-15-upper.ana.ud1945e105	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-15	2003-12-15	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-15	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-12-15-upper	ParlaMint-NO_2003-12-15-upper.ana.ud1945e121	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-15	2003-12-15	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-15	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-12-15-upper	ParlaMint-NO_2003-12-15-upper.ana.ud1945e137	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-15	2003-12-15	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-15	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-12-15-upper	ParlaMint-NO_2003-12-15-upper.ana.ud1945e153	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-15	2003-12-15	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-15	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-12-15-upper	ParlaMint-NO_2003-12-15-upper.ana.ud1945e169	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-15	2003-12-15	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-15	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-12-15-upper	ParlaMint-NO_2003-12-15-upper.ana.ud1945e185	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-15	2003-12-15	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-15	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-12-15-upper	ParlaMint-NO_2003-12-15-upper.ana.ud1945e201	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-15	2003-12-15	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-15	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-12-15-upper	ParlaMint-NO_2003-12-15-upper.ana.ud1945e217	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-15	2003-12-15	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-15	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-12-15-upper	ParlaMint-NO_2003-12-15-upper.ana.ud1945e233	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-15	2003-12-15	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-15	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2003-12-15-upper	ParlaMint-NO_2003-12-15-upper.ana.ud1945e250	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2003-12-15	2003-12-15	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2003-12-15	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
