Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e32	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e44	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e49	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.HMS	Solberg, Hill-Marta	F	1951	
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e54	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e68	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e77	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.MMK	Kleppa, Magnhild Meltveit	F	1948	
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e100	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e109	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HKH	Hogsnes, Hans Kristian	M	1954	
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e116	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TOA	Andersen, Torbjørn	M	1957	
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e131	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2003-02-27-lower	ParlaMint-NO_2003-02-27-lower.ana.ud1322e134	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-27	2003-02-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-27	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KAAN	Andersen, Karin	F	1952	
