Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-05-27-lower	ParlaMint-NO_2003-05-27-lower.ana.ud610e40	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-27	2003-05-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-27	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2003-05-27-lower	ParlaMint-NO_2003-05-27-lower.ana.ud610e45	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-27	2003-05-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-27	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.HMS	Solberg, Hill-Marta	F	1951	
ParlaMint-NO-en_2003-05-27-lower	ParlaMint-NO_2003-05-27-lower.ana.ud610e50	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-27	2003-05-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-27	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2003-05-27-lower	ParlaMint-NO_2003-05-27-lower.ana.ud610e58	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-27	2003-05-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-27	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2003-05-27-lower	ParlaMint-NO_2003-05-27-lower.ana.ud610e72	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-27	2003-05-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-27	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2003-05-27-lower	ParlaMint-NO_2003-05-27-lower.ana.ud610e85	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-27	2003-05-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-27	-	Reference	English	Regular	MP	notMinister	V	Venstre	Coalition	Centre	person.TSG	Grande, Trine Skei	F	1969	
ParlaMint-NO-en_2003-05-27-lower	ParlaMint-NO_2003-05-27-lower.ana.ud610e121	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-27	2003-05-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-27	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2003-05-27-lower	ParlaMint-NO_2003-05-27-lower.ana.ud610e124	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-27	2003-05-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-27	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.VB	Bjørnstad, Vidar	M	1955	
ParlaMint-NO-en_2003-05-27-lower	ParlaMint-NO_2003-05-27-lower.ana.ud610e135	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-27	2003-05-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-27	-	Reference	English	Regular	MP	notMinister	V	Venstre	Coalition	Centre	person.TSG	Grande, Trine Skei	F	1969	
ParlaMint-NO-en_2003-05-27-lower	ParlaMint-NO_2003-05-27-lower.ana.ud610e144	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-27	2003-05-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-27	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.AESO	Sortevik, Arne	M	1947	
ParlaMint-NO-en_2003-05-27-lower	ParlaMint-NO_2003-05-27-lower.ana.ud610e155	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-27	2003-05-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-27	-	Reference	English	Regular	MP	notMinister	V	Venstre	Coalition	Centre	person.TSG	Grande, Trine Skei	F	1969	
ParlaMint-NO-en_2003-05-27-lower	ParlaMint-NO_2003-05-27-lower.ana.ud610e164	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-27	2003-05-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-27	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.RHRE	Reikvam, Rolf	M	1948	
ParlaMint-NO-en_2003-05-27-lower	ParlaMint-NO_2003-05-27-lower.ana.ud610e175	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-27	2003-05-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-27	-	Reference	English	Regular	MP	notMinister	V	Venstre	Coalition	Centre	person.TSG	Grande, Trine Skei	F	1969	
ParlaMint-NO-en_2003-05-27-lower	ParlaMint-NO_2003-05-27-lower.ana.ud610e182	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-27	2003-05-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-27	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2003-05-27-lower	ParlaMint-NO_2003-05-27-lower.ana.ud610e186	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-27	2003-05-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-27	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KBO	Bekkemellem, Karita	F	1965	
ParlaMint-NO-en_2003-05-27-lower	ParlaMint-NO_2003-05-27-lower.ana.ud610e209	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-27	2003-05-27	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-27	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
