Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-03-18-lower	ParlaMint-NO_2003-03-18-lower.ana.ud1932e46	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-18	2003-03-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-18	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2003-03-18-lower	ParlaMint-NO_2003-03-18-lower.ana.ud1932e49	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-18	2003-03-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-18	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.GJH	Hagesæter, Gjermund	M	1960	
ParlaMint-NO-en_2003-03-18-lower	ParlaMint-NO_2003-03-18-lower.ana.ud1932e58	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-18	2003-03-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-18	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2003-03-18-lower	ParlaMint-NO_2003-03-18-lower.ana.ud1932e73	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-18	2003-03-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-18	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2003-03-18-lower	ParlaMint-NO_2003-03-18-lower.ana.ud1932e81	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-18	2003-03-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-18	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2003-03-18-lower	ParlaMint-NO_2003-03-18-lower.ana.ud1932e126	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-18	2003-03-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-18	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2003-03-18-lower	ParlaMint-NO_2003-03-18-lower.ana.ud1932e134	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-18	2003-03-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-18	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2003-03-18-lower	ParlaMint-NO_2003-03-18-lower.ana.ud1932e163	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-18	2003-03-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-18	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2003-03-18-lower	ParlaMint-NO_2003-03-18-lower.ana.ud1932e175	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-18	2003-03-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-18	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2003-03-18-lower	ParlaMint-NO_2003-03-18-lower.ana.ud1932e187	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-18	2003-03-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-18	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
