Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2017-10-01-tbmm-T26	tbmm-2017-10-01sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 3, Session 1	2017-10-01	Unicameralism	26	3	1	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	İsmail.Kahraman	Kahraman, İsmail	M	1940	
ParlaMint-TR-en_2017-10-01-tbmm-T26	tbmm-2017-10-01sit01spe0002par0019	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 3, Session 1	2017-10-01	Unicameralism	26	3	1	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	İbrahim.Özdiş	Özdiş, İbrahim	M	1956	
ParlaMint-TR-en_2017-10-01-tbmm-T26	tbmm-2017-10-01sit01spe0001par0020	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 3, Session 1	2017-10-01	Unicameralism	26	3	1	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	İsmail.Kahraman	Kahraman, İsmail	M	1940	
ParlaMint-TR-en_2017-10-01-tbmm-T26	tbmm-2017-10-01sit01spe0003par0070	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 3, Session 1	2017-10-01	Unicameralism	26	3	1	-	-	Reference	English	Regular	notMP	notMinister	AKP	Justice and Development Party	Coalition	Right	RecepTayyip.Erdoğan	Erdoğan, Recep Tayyip	M	1954	
ParlaMint-TR-en_2017-10-01-tbmm-T26	tbmm-2017-10-01sit01spe0004par0118	The Turkish parliamentary corpus ParlaMint-TR-en, Term 26, Year 3, Session 1	2017-10-01	Unicameralism	26	3	1	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	İsmail.Kahraman	Kahraman, İsmail	M	1940	
