Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2023-01-19-m0	ParlaMint-UA_2023-01-19-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 8, sitting day 2023-01-19, n0	2023-01-19	Unicameralism	9	8	-	2023-01-19	-	COVID,War	English	Chairperson	MP	notMinister	-	-	-	-	РусланОлексійовичСтефанчук.1975	Stefančuk, Ruslan Oleksijovyč	M	1975	
ParlaMint-UA-en_2023-01-19-m0	ParlaMint-UA_2023-01-19-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 8, sitting day 2023-01-19, n0	2023-01-19	Unicameralism	9	8	-	2023-01-19	-	COVID,War	English	Guest	notMP	notMinister	-	-	-	-	ШарльМішель.1975	Mišel', Šarl'	M	1975	
ParlaMint-UA-en_2023-01-19-m0	ParlaMint-UA_2023-01-19-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 8, sitting day 2023-01-19, n0	2023-01-19	Unicameralism	9	8	-	2023-01-19	-	COVID,War	English	Chairperson	MP	notMinister	-	-	-	-	РусланОлексійовичСтефанчук.1975	Stefančuk, Ruslan Oleksijovyč	M	1975	
