Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2023-09-26-m0	ParlaMint-UA_2023-09-26-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 10, sitting day 2023-09-26, n0	2023-09-26	Unicameralism	9	10	-	2023-09-26	-	COVID,War	English	Chairperson	MP	notMinister	-	-	-	-	РусланОлексійовичСтефанчук.1975	Stefančuk, Ruslan Oleksijovyč	M	1975	
ParlaMint-UA-en_2023-09-26-m0	ParlaMint-UA_2023-09-26-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 10, sitting day 2023-09-26, n0	2023-09-26	Unicameralism	9	10	-	2023-09-26	-	COVID,War	English	Chairperson	MP	notMinister	-	-	-	-	РусланОлексійовичСтефанчук.1975	Stefančuk, Ruslan Oleksijovyč	M	1975	
ParlaMint-UA-en_2023-09-26-m0	ParlaMint-UA_2023-09-26-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 10, sitting day 2023-09-26, n0	2023-09-26	Unicameralism	9	10	-	2023-09-26	-	COVID,War	English	Guest	notMP	notMinister	-	-	-	-	ВольфгангСоботка.1956	Sobotka, Vol'fhanh	M	1956	
ParlaMint-UA-en_2023-09-26-m0	ParlaMint-UA_2023-09-26-m0.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 10, sitting day 2023-09-26, n0	2023-09-26	Unicameralism	9	10	-	2023-09-26	-	COVID,War	English	Chairperson	MP	notMinister	-	-	-	-	РусланОлексійовичСтефанчук.1975	Stefančuk, Ruslan Oleksijovyč	M	1975	
