Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2021-12-20-13	ParlaMint-IS_2021-12-20-13.u1	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-13, 20.12.2021.	2021-12-20	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2021-12-20-13	ParlaMint-IS_2021-12-20-13.u2	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-13, 20.12.2021.	2021-12-20	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2021-12-20-13	ParlaMint-IS_2021-12-20-13.u3	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-13, 20.12.2021.	2021-12-20	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	
