Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2021-07-06-118	ParlaMint-IS_2021-07-06-118.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-118, 06.07.2021.	2021-07-06	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2021-07-06-118	ParlaMint-IS_2021-07-06-118.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-118, 06.07.2021.	2021-07-06	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2021-07-06-118	ParlaMint-IS_2021-07-06-118.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-118, 06.07.2021.	2021-07-06	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2021-07-06-118	ParlaMint-IS_2021-07-06-118.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-118, 06.07.2021.	2021-07-06	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2021-07-06-118	ParlaMint-IS_2021-07-06-118.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-118, 06.07.2021.	2021-07-06	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	JonOlafsson1977	Ólafsson, Jón Þór	M	1977	
