Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2021-05-11-94	ParlaMint-IS_2021-05-11-94.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-94, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	OliKarason	Kárason, Óli Björn	M	1960	
ParlaMint-IS-en_2021-05-11-94	ParlaMint-IS_2021-05-11-94.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-94, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	SmariMcCarthy	McCarthy, Smári	M	1984	
ParlaMint-IS-en_2021-05-11-94	ParlaMint-IS_2021-05-11-94.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-94, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	RosaBrynjolfsdottir	Brynjólfsdóttir, Rósa Björk	F	1975	
ParlaMint-IS-en_2021-05-11-94	ParlaMint-IS_2021-05-11-94.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-94, 11.05.2021.	2021-05-11	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	JonValdimarsson	Valdimarsson, Jón Steindór	M	1958	
