Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2021-03-18-70	ParlaMint-IS_2021-03-18-70.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-70, 18.03.2021.	2021-03-18	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2021-03-18-70	ParlaMint-IS_2021-03-18-70.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-70, 18.03.2021.	2021-03-18	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	THorsteinnSaemundsson	Sæmundsson, Þorsteinn	M	1953	
ParlaMint-IS-en_2021-03-18-70	ParlaMint-IS_2021-03-18-70.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-70, 18.03.2021.	2021-03-18	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	notMP	notMinister	P	Píratar	-	Pirate Party	OlgaCilia	Cilia, Olga Margrét	F	1986	
ParlaMint-IS-en_2021-03-18-70	ParlaMint-IS_2021-03-18-70.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-70, 18.03.2021.	2021-03-18	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	GudmundurThorsson	Thorsson, Guðmundur Andri	M	1957	
ParlaMint-IS-en_2021-03-18-70	ParlaMint-IS_2021-03-18-70.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-70, 18.03.2021.	2021-03-18	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	THorbjorgGunnlaugsdottir	Gunnlaugsdóttir, Þorbjörg Sigríður	F	1978	
