Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2021-06-13-115	ParlaMint-IS_2021-06-13-115.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-115, 13.06.2021.	2021-06-13	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	JonOlafsson1977	Ólafsson, Jón Þór	M	1977	
ParlaMint-IS-en_2021-06-13-115	ParlaMint-IS_2021-06-13-115.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-115, 13.06.2021.	2021-06-13	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HelgiGunnarsson	Gunnarsson, Helgi Hrafn	M	1980	
ParlaMint-IS-en_2021-06-13-115	ParlaMint-IS_2021-06-13-115.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-115, 13.06.2021.	2021-06-13	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	THorsteinnSaemundsson	Sæmundsson, Þorsteinn	M	1953	
ParlaMint-IS-en_2021-06-13-115	ParlaMint-IS_2021-06-13-115.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 151-115, 13.06.2021.	2021-06-13	Unicameralism	23. kjörtímabil	151. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BirgirArmannsson	Ármannsson, Birgir	M	1968	
