Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2018-06-26-prot-201718--138	i-927a4619b555a0f0-4	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 138	2018-06-26	Unicameralism	2017/18	-	-	2017/18--138	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q241208	Lövin, Isabella	F	-	
ParlaMint-SE-en_2018-06-26-prot-201718--138	i-927a4619b555a0f0-11	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 138	2018-06-26	Unicameralism	2017/18	-	-	2017/18--138	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q946708	Holm, Jens	M	-	
ParlaMint-SE-en_2018-06-26-prot-201718--138	i-KjmSpyuw68LmtZwPmF5qNs	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 138	2018-06-26	Unicameralism	2017/18	-	-	2017/18--138	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q241208	Lövin, Isabella	F	-	
ParlaMint-SE-en_2018-06-26-prot-201718--138	i-927a4619b555a0f0-26	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 138	2018-06-26	Unicameralism	2017/18	-	-	2017/18--138	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q946708	Holm, Jens	M	-	
ParlaMint-SE-en_2018-06-26-prot-201718--138	i-927a4619b555a0f0-36	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 138	2018-06-26	Unicameralism	2017/18	-	-	2017/18--138	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q241208	Lövin, Isabella	F	-	
ParlaMint-SE-en_2018-06-26-prot-201718--138	i-927a4619b555a0f0-45	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 138	2018-06-26	Unicameralism	2017/18	-	-	2017/18--138	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q946708	Holm, Jens	M	-	
ParlaMint-SE-en_2018-06-26-prot-201718--138	i-927a4619b555a0f0-50	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 138	2018-06-26	Unicameralism	2017/18	-	-	2017/18--138	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q241208	Lövin, Isabella	F	-	
ParlaMint-SE-en_2018-06-26-prot-201718--138	i-927a4619b555a0f0-55	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 138	2018-06-26	Unicameralism	2017/18	-	-	2017/18--138	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2018-06-26-prot-201718--138	i-927a4619b555a0f0-59	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 138	2018-06-26	Unicameralism	2017/18	-	-	2017/18--138	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2018-06-26-prot-201718--138	i-927a4619b555a0f0-62	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 138	2018-06-26	Unicameralism	2017/18	-	-	2017/18--138	-	Reference	English	Regular	MP	notMinister	Q50383811	Alternativ för Sverige	-	Far-right	Q18237118	Ahl, Jeff	M	-	
ParlaMint-SE-en_2018-06-26-prot-201718--138	i-927a4619b555a0f0-68	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 138	2018-06-26	Unicameralism	2017/18	-	-	2017/18--138	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2018-06-26-prot-201718--138	i-927a4619b555a0f0-72	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 138	2018-06-26	Unicameralism	2017/18	-	-	2017/18--138	-	Reference	English	Regular	MP	notMinister	Q50383811	Alternativ för Sverige	-	Far-right	Q18237118	Ahl, Jeff	M	-	
ParlaMint-SE-en_2018-06-26-prot-201718--138	i-927a4619b555a0f0-80	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 138	2018-06-26	Unicameralism	2017/18	-	-	2017/18--138	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2018-06-26-prot-201718--138	i-927a4619b555a0f0-83	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 138	2018-06-26	Unicameralism	2017/18	-	-	2017/18--138	-	Reference	English	Regular	MP	notMinister	Q50383811	Alternativ för Sverige	-	Far-right	Q18237118	Ahl, Jeff	M	-	
ParlaMint-SE-en_2018-06-26-prot-201718--138	i-927a4619b555a0f0-87	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 138	2018-06-26	Unicameralism	2017/18	-	-	2017/18--138	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
