Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2018-03-02-prot-201718--78	i-72d5f359f24b419a-5	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 78	2018-03-02	Unicameralism	2017/18	-	-	2017/18--78	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2018-03-02-prot-201718--78	i-72d5f359f24b419a-10	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 78	2018-03-02	Unicameralism	2017/18	-	-	2017/18--78	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4940303	Bouveng, Helena	F	-	
ParlaMint-SE-en_2018-03-02-prot-201718--78	i-72d5f359f24b419a-17	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 78	2018-03-02	Unicameralism	2017/18	-	-	2017/18--78	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6232261	Warborn, Jörgen	M	-	
ParlaMint-SE-en_2018-03-02-prot-201718--78	i-72d5f359f24b419a-26	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 78	2018-03-02	Unicameralism	2017/18	-	-	2017/18--78	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2018-03-02-prot-201718--78	i-72d5f359f24b419a-31	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 78	2018-03-02	Unicameralism	2017/18	-	-	2017/18--78	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4940303	Bouveng, Helena	F	-	
ParlaMint-SE-en_2018-03-02-prot-201718--78	i-72d5f359f24b419a-40	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 78	2018-03-02	Unicameralism	2017/18	-	-	2017/18--78	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6232261	Warborn, Jörgen	M	-	
ParlaMint-SE-en_2018-03-02-prot-201718--78	i-72d5f359f24b419a-52	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 78	2018-03-02	Unicameralism	2017/18	-	-	2017/18--78	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2018-03-02-prot-201718--78	i-72d5f359f24b419a-58	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 78	2018-03-02	Unicameralism	2017/18	-	-	2017/18--78	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4940303	Bouveng, Helena	F	-	
ParlaMint-SE-en_2018-03-02-prot-201718--78	i-72d5f359f24b419a-63	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 78	2018-03-02	Unicameralism	2017/18	-	-	2017/18--78	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6232261	Warborn, Jörgen	M	-	
ParlaMint-SE-en_2018-03-02-prot-201718--78	i-72d5f359f24b419a-69	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 78	2018-03-02	Unicameralism	2017/18	-	-	2017/18--78	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
