Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2018-09-24-prot-201819--1	i-5eb73b661f7bd3ad-0	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 1	2018-09-24	Unicameralism	2018/19	-	-	2018/19--1	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2018-09-24-prot-201819--1	i-5eb73b661f7bd3ad-106	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 1	2018-09-24	Unicameralism	2018/19	-	-	2018/19--1	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2018-09-24-prot-201819--1	i-5eb73b661f7bd3ad-114	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 1	2018-09-24	Unicameralism	2018/19	-	-	2018/19--1	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q3112958	Billström, Tobias	M	-	
ParlaMint-SE-en_2018-09-24-prot-201819--1	i-5eb73b661f7bd3ad-121	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 1	2018-09-24	Unicameralism	2018/19	-	-	2018/19--1	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2018-09-24-prot-201819--1	i-5eb73b661f7bd3ad-122	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 1	2018-09-24	Unicameralism	2018/19	-	-	2018/19--1	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2018-09-24-prot-201819--1	i-5eb73b661f7bd3ad-138	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 1	2018-09-24	Unicameralism	2018/19	-	-	2018/19--1	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4981668	Mölleby, Mia Sydow	F	-	
ParlaMint-SE-en_2018-09-24-prot-201819--1	i-5eb73b661f7bd3ad-144	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 1	2018-09-24	Unicameralism	2018/19	-	-	2018/19--1	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2018-09-24-prot-201819--1	i-5eb73b661f7bd3ad-147	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 1	2018-09-24	Unicameralism	2018/19	-	-	2018/19--1	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q5602835	Carlson, Andreas	M	-	
ParlaMint-SE-en_2018-09-24-prot-201819--1	i-5eb73b661f7bd3ad-149	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 1	2018-09-24	Unicameralism	2018/19	-	-	2018/19--1	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q5109199	Nylander, Christer	M	-	
ParlaMint-SE-en_2018-09-24-prot-201819--1	i-5eb73b661f7bd3ad-155	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 1	2018-09-24	Unicameralism	2018/19	-	-	2018/19--1	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q3112958	Billström, Tobias	M	-	
