Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-2	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-11	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18243097	Fornarve, Lotta Johnsson	F	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-17	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-26	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-30	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-32	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-34	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-36	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q16633339	Ottosson, Mattias	M	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-45	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4769201	Engblom, Annicka	F	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-57	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-60	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4769201	Engblom, Annicka	F	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-61	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-62	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4769201	Engblom, Annicka	F	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-63	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q19977216	Schröder, Anders	M	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-69	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18600515	Bäckström, Daniel	M	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-83	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q18202340	Haider, Monica	F	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-98	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q18923356	Karlsson, Jesper Skalberg	M	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-114	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q5910434	Kinnunen, Martin	M	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-130	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q18244660	Nohrén, Emma	F	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-145	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q3058054	Erlandsson, Eskil	M	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-152	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q946708	Holm, Jens	M	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-169	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q6217745	Tysklind, Lars	M	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-188	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6220743	Utbult, Roland	M	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-202	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q946708	Holm, Jens	M	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-206	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6220743	Utbult, Roland	M	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-209	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q946708	Holm, Jens	M	-	
ParlaMint-SE-en_2018-03-14-prot-201718--84	i-7b72faf9826821ef-212	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 84	2018-03-14	Unicameralism	2017/18	-	-	2017/18--84	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6220743	Utbult, Roland	M	-	
