Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2018-06-28-prot-201718--140	i-ed3cbcd0b77476c9-5	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 140	2018-06-28	Unicameralism	2017/18	-	-	2017/18--140	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4949040	Fritzon, Heléne	F	-	
ParlaMint-SE-en_2018-06-28-prot-201718--140	i-ed3cbcd0b77476c9-14	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 140	2018-06-28	Unicameralism	2017/18	-	-	2017/18--140	-	Reference	English	Regular	MP	notMinister	Q50383811	Alternativ för Sverige	-	Far-right	Q18237118	Ahl, Jeff	M	-	
ParlaMint-SE-en_2018-06-28-prot-201718--140	i-ed3cbcd0b77476c9-23	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 140	2018-06-28	Unicameralism	2017/18	-	-	2017/18--140	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4949040	Fritzon, Heléne	F	-	
ParlaMint-SE-en_2018-06-28-prot-201718--140	i-ed3cbcd0b77476c9-29	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 140	2018-06-28	Unicameralism	2017/18	-	-	2017/18--140	-	Reference	English	Regular	MP	notMinister	Q50383811	Alternativ för Sverige	-	Far-right	Q18237118	Ahl, Jeff	M	-	
ParlaMint-SE-en_2018-06-28-prot-201718--140	i-ed3cbcd0b77476c9-37	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 140	2018-06-28	Unicameralism	2017/18	-	-	2017/18--140	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4949040	Fritzon, Heléne	F	-	
ParlaMint-SE-en_2018-06-28-prot-201718--140	i-ed3cbcd0b77476c9-42	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 140	2018-06-28	Unicameralism	2017/18	-	-	2017/18--140	-	Reference	English	Regular	MP	notMinister	Q50383811	Alternativ för Sverige	-	Far-right	Q18237118	Ahl, Jeff	M	-	
ParlaMint-SE-en_2018-06-28-prot-201718--140	i-ed3cbcd0b77476c9-47	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 140	2018-06-28	Unicameralism	2017/18	-	-	2017/18--140	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4949040	Fritzon, Heléne	F	-	
