Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2015-04-30	ParlaMint-EE_2015-04-30_U1	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 30.04.2015, 10:00	2015-04-30	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-30	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-04-30	ParlaMint-EE_2015-04-30_U2	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 30.04.2015, 10:00	2015-04-30	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-30	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	k_sarapuu_19540505	Sarapuu, Kersti	F	1954	
ParlaMint-EE-en_2015-04-30	ParlaMint-EE_2015-04-30_U3	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 30.04.2015, 10:00	2015-04-30	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-30	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-04-30	ParlaMint-EE_2015-04-30_U4	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 30.04.2015, 10:00	2015-04-30	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-30	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	k_sarapuu_19540505	Sarapuu, Kersti	F	1954	
ParlaMint-EE-en_2015-04-30	ParlaMint-EE_2015-04-30_U5	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 30.04.2015, 10:00	2015-04-30	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-30	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-04-30	ParlaMint-EE_2015-04-30_U6	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 30.04.2015, 10:00	2015-04-30	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-30	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	k_sarapuu_19540505	Sarapuu, Kersti	F	1954	
ParlaMint-EE-en_2015-04-30	ParlaMint-EE_2015-04-30_U7	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 30.04.2015, 10:00	2015-04-30	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-30	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-04-30	ParlaMint-EE_2015-04-30_U8	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 30.04.2015, 10:00	2015-04-30	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-30	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	s_kotka_19860727	Kotka, Siret	F	1986	
ParlaMint-EE-en_2015-04-30	ParlaMint-EE_2015-04-30_U9	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 30.04.2015, 10:00	2015-04-30	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-30	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-04-30	ParlaMint-EE_2015-04-30_U10	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 30.04.2015, 10:00	2015-04-30	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-30	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	d_dmitrijev_19820617	Dmitrijev, Dmitri	M	1982	
ParlaMint-EE-en_2015-04-30	ParlaMint-EE_2015-04-30_U11	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 30.04.2015, 10:00	2015-04-30	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-30	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
