Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2015-06-11	ParlaMint-EE_2015-06-11_U1	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 11.06.2015, 10:00	2015-06-11	Unicameralism	XIII Riigikogu	I regular session	-	2015-06-11	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-06-11	ParlaMint-EE_2015-06-11_U2	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 11.06.2015, 10:00	2015-06-11	Unicameralism	XIII Riigikogu	I regular session	-	2015-06-11	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-06-11	ParlaMint-EE_2015-06-11_U3	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 11.06.2015, 10:00	2015-06-11	Unicameralism	XIII Riigikogu	I regular session	-	2015-06-11	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	p_randma_00000000	Randma, P	U	-	
ParlaMint-EE-en_2015-06-11	ParlaMint-EE_2015-06-11_U4	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 11.06.2015, 10:00	2015-06-11	Unicameralism	XIII Riigikogu	I regular session	-	2015-06-11	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-06-11	ParlaMint-EE_2015-06-11_U5	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 11.06.2015, 10:00	2015-06-11	Unicameralism	XIII Riigikogu	I regular session	-	2015-06-11	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	k_simson_19770122	Simson, Kadri	F	1977	
ParlaMint-EE-en_2015-06-11	ParlaMint-EE_2015-06-11_U6	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 11.06.2015, 10:00	2015-06-11	Unicameralism	XIII Riigikogu	I regular session	-	2015-06-11	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-06-11	ParlaMint-EE_2015-06-11_U7	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 11.06.2015, 10:00	2015-06-11	Unicameralism	XIII Riigikogu	I regular session	-	2015-06-11	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	m_soosaar_19460112	Soosaar, Mark	M	1946	
ParlaMint-EE-en_2015-06-11	ParlaMint-EE_2015-06-11_U8	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 11.06.2015, 10:00	2015-06-11	Unicameralism	XIII Riigikogu	I regular session	-	2015-06-11	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-06-11	ParlaMint-EE_2015-06-11_U9	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 11.06.2015, 10:00	2015-06-11	Unicameralism	XIII Riigikogu	I regular session	-	2015-06-11	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_stalnuhhin_19610915	Stalnuhhin, Mihhail	M	1961	
ParlaMint-EE-en_2015-06-11	ParlaMint-EE_2015-06-11_U10	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 11.06.2015, 10:00	2015-06-11	Unicameralism	XIII Riigikogu	I regular session	-	2015-06-11	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-06-11	ParlaMint-EE_2015-06-11_U11	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 11.06.2015, 10:00	2015-06-11	Unicameralism	XIII Riigikogu	I regular session	-	2015-06-11	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-06-11	ParlaMint-EE_2015-06-11_U12	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 11.06.2015, 10:00	2015-06-11	Unicameralism	XIII Riigikogu	I regular session	-	2015-06-11	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2015-06-11	ParlaMint-EE_2015-06-11_U13	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 11.06.2015, 10:00	2015-06-11	Unicameralism	XIII Riigikogu	I regular session	-	2015-06-11	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-06-11	ParlaMint-EE_2015-06-11_U14	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 11.06.2015, 10:00	2015-06-11	Unicameralism	XIII Riigikogu	I regular session	-	2015-06-11	-	Reference	English	Regular	MP	notMinister	VABA	Vabaerakond	-	Centre-right	j_adams_19471122	Adams, Jüri	M	1947	
ParlaMint-EE-en_2015-06-11	ParlaMint-EE_2015-06-11_U15	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 11.06.2015, 10:00	2015-06-11	Unicameralism	XIII Riigikogu	I regular session	-	2015-06-11	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-06-11	ParlaMint-EE_2015-06-11_U16	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 11.06.2015, 10:00	2015-06-11	Unicameralism	XIII Riigikogu	I regular session	-	2015-06-11	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	p_toobal_19831101	Toobal, Priit	M	1983	
ParlaMint-EE-en_2015-06-11	ParlaMint-EE_2015-06-11_U17	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 11.06.2015, 10:00	2015-06-11	Unicameralism	XIII Riigikogu	I regular session	-	2015-06-11	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-06-11	ParlaMint-EE_2015-06-11_U18	XIII Parliament term, I Session, Plenary Assembly regular meeting on Thursday, 11.06.2015, 10:00	2015-06-11	Unicameralism	XIII Riigikogu	I regular session	-	2015-06-11	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
