Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2015-01-15	ParlaMint-EE_2015-01-15_U1	XII Parliament term, IX Session, Plenary Assembly regular meeting on Thursday, 15.01.2015, 10:00	2015-01-15	Unicameralism	XII Riigikogu	IX regular session	-	2015-01-15	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-01-15	ParlaMint-EE_2015-01-15_U2	XII Parliament term, IX Session, Plenary Assembly regular meeting on Thursday, 15.01.2015, 10:00	2015-01-15	Unicameralism	XII Riigikogu	IX regular session	-	2015-01-15	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-01-15	ParlaMint-EE_2015-01-15_U3	XII Parliament term, IX Session, Plenary Assembly regular meeting on Thursday, 15.01.2015, 10:00	2015-01-15	Unicameralism	XII Riigikogu	IX regular session	-	2015-01-15	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	v_ligi_00000000	Ligi, V	U	-	
ParlaMint-EE-en_2015-01-15	ParlaMint-EE_2015-01-15_U4	XII Parliament term, IX Session, Plenary Assembly regular meeting on Thursday, 15.01.2015, 10:00	2015-01-15	Unicameralism	XII Riigikogu	IX regular session	-	2015-01-15	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-01-15	ParlaMint-EE_2015-01-15_U5	XII Parliament term, IX Session, Plenary Assembly regular meeting on Thursday, 15.01.2015, 10:00	2015-01-15	Unicameralism	XII Riigikogu	IX regular session	-	2015-01-15	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	-	Centre-right to right	km_vaher_19740905	Vaher, Ken-Marti	M	1974	
ParlaMint-EE-en_2015-01-15	ParlaMint-EE_2015-01-15_U6	XII Parliament term, IX Session, Plenary Assembly regular meeting on Thursday, 15.01.2015, 10:00	2015-01-15	Unicameralism	XII Riigikogu	IX regular session	-	2015-01-15	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-01-15	ParlaMint-EE_2015-01-15_U7	XII Parliament term, IX Session, Plenary Assembly regular meeting on Thursday, 15.01.2015, 10:00	2015-01-15	Unicameralism	XII Riigikogu	IX regular session	-	2015-01-15	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-01-15	ParlaMint-EE_2015-01-15_U8	XII Parliament term, IX Session, Plenary Assembly regular meeting on Thursday, 15.01.2015, 10:00	2015-01-15	Unicameralism	XII Riigikogu	IX regular session	-	2015-01-15	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	r_maruste_19530927	Maruste, Rait	M	1953	
ParlaMint-EE-en_2015-01-15	ParlaMint-EE_2015-01-15_U9	XII Parliament term, IX Session, Plenary Assembly regular meeting on Thursday, 15.01.2015, 10:00	2015-01-15	Unicameralism	XII Riigikogu	IX regular session	-	2015-01-15	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
