Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2015-04-13	ParlaMint-EE_2015-04-13_U1	XIII Parliament term, I Session, Plenary Assembly regular meeting on Monday, 13.04.2015, 15:00	2015-04-13	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-13	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2015-04-13	ParlaMint-EE_2015-04-13_U2	XIII Parliament term, I Session, Plenary Assembly regular meeting on Monday, 13.04.2015, 15:00	2015-04-13	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-13	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	k_simson_19770122	Simson, Kadri	F	1977	
ParlaMint-EE-en_2015-04-13	ParlaMint-EE_2015-04-13_U3	XIII Parliament term, I Session, Plenary Assembly regular meeting on Monday, 13.04.2015, 15:00	2015-04-13	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-13	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2015-04-13	ParlaMint-EE_2015-04-13_U4	XIII Parliament term, I Session, Plenary Assembly regular meeting on Monday, 13.04.2015, 15:00	2015-04-13	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-13	-	Reference	English	Regular	MP	notMinister	VABA	Vabaerakond	-	Centre-right	k_kübarsepp_19810627	Kübarsepp, Külliki	F	1981	
ParlaMint-EE-en_2015-04-13	ParlaMint-EE_2015-04-13_U5	XIII Parliament term, I Session, Plenary Assembly regular meeting on Monday, 13.04.2015, 15:00	2015-04-13	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-13	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2015-04-13	ParlaMint-EE_2015-04-13_U6	XIII Parliament term, I Session, Plenary Assembly regular meeting on Monday, 13.04.2015, 15:00	2015-04-13	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-13	-	Reference	English	Regular	MP	notMinister	VABA	Vabaerakond	-	Centre-right	k_kübarsepp_19810627	Kübarsepp, Külliki	F	1981	
ParlaMint-EE-en_2015-04-13	ParlaMint-EE_2015-04-13_U7	XIII Parliament term, I Session, Plenary Assembly regular meeting on Monday, 13.04.2015, 15:00	2015-04-13	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-13	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2015-04-13	ParlaMint-EE_2015-04-13_U8	XIII Parliament term, I Session, Plenary Assembly regular meeting on Monday, 13.04.2015, 15:00	2015-04-13	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-13	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2015-04-13	ParlaMint-EE_2015-04-13_U9	XIII Parliament term, I Session, Plenary Assembly regular meeting on Monday, 13.04.2015, 15:00	2015-04-13	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-13	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_stalnuhhin_19610915	Stalnuhhin, Mihhail	M	1961	
ParlaMint-EE-en_2015-04-13	ParlaMint-EE_2015-04-13_U10	XIII Parliament term, I Session, Plenary Assembly regular meeting on Monday, 13.04.2015, 15:00	2015-04-13	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-13	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2015-04-13	ParlaMint-EE_2015-04-13_U11	XIII Parliament term, I Session, Plenary Assembly regular meeting on Monday, 13.04.2015, 15:00	2015-04-13	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-13	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_stalnuhhin_19610915	Stalnuhhin, Mihhail	M	1961	
ParlaMint-EE-en_2015-04-13	ParlaMint-EE_2015-04-13_U12	XIII Parliament term, I Session, Plenary Assembly regular meeting on Monday, 13.04.2015, 15:00	2015-04-13	Unicameralism	XIII Riigikogu	I regular session	-	2015-04-13	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
