Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2015-11-12	ParlaMint-EE_2015-11-12_U1	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 12.11.2015, 10:00	2015-11-12	Unicameralism	XIII Riigikogu	II regular session	-	2015-11-12	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-11-12	ParlaMint-EE_2015-11-12_U2	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 12.11.2015, 10:00	2015-11-12	Unicameralism	XIII Riigikogu	II regular session	-	2015-11-12	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_korb_19800803	Korb, Mihhail	M	1980	
ParlaMint-EE-en_2015-11-12	ParlaMint-EE_2015-11-12_U3	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 12.11.2015, 10:00	2015-11-12	Unicameralism	XIII Riigikogu	II regular session	-	2015-11-12	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-11-12	ParlaMint-EE_2015-11-12_U4	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 12.11.2015, 10:00	2015-11-12	Unicameralism	XIII Riigikogu	II regular session	-	2015-11-12	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_korb_19800803	Korb, Mihhail	M	1980	
ParlaMint-EE-en_2015-11-12	ParlaMint-EE_2015-11-12_U5	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 12.11.2015, 10:00	2015-11-12	Unicameralism	XIII Riigikogu	II regular session	-	2015-11-12	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-11-12	ParlaMint-EE_2015-11-12_U6	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 12.11.2015, 10:00	2015-11-12	Unicameralism	XIII Riigikogu	II regular session	-	2015-11-12	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	t_tamm_19531203	Tamm, Tarmo	M	1953	
ParlaMint-EE-en_2015-11-12	ParlaMint-EE_2015-11-12_U7	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 12.11.2015, 10:00	2015-11-12	Unicameralism	XIII Riigikogu	II regular session	-	2015-11-12	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-11-12	ParlaMint-EE_2015-11-12_U8	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 12.11.2015, 10:00	2015-11-12	Unicameralism	XIII Riigikogu	II regular session	-	2015-11-12	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-11-12	ParlaMint-EE_2015-11-12_U9	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 12.11.2015, 10:00	2015-11-12	Unicameralism	XIII Riigikogu	II regular session	-	2015-11-12	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	ü_madise_00000000	Madise, Ü	U	-	
ParlaMint-EE-en_2015-11-12	ParlaMint-EE_2015-11-12_U10	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 12.11.2015, 10:00	2015-11-12	Unicameralism	XIII Riigikogu	II regular session	-	2015-11-12	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-11-12	ParlaMint-EE_2015-11-12_U11	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 12.11.2015, 10:00	2015-11-12	Unicameralism	XIII Riigikogu	II regular session	-	2015-11-12	-	Reference	English	Regular	MP	notMinister	VABA	Vabaerakond	-	Centre-right	j_adams_19471122	Adams, Jüri	M	1947	
