Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2015-12-10	ParlaMint-EE_2015-12-10_U1	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 10.12.2015, 10:00	2015-12-10	Unicameralism	XIII Riigikogu	II regular session	-	2015-12-10	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-12-10	ParlaMint-EE_2015-12-10_U2	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 10.12.2015, 10:00	2015-12-10	Unicameralism	XIII Riigikogu	II regular session	-	2015-12-10	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-12-10	ParlaMint-EE_2015-12-10_U3	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 10.12.2015, 10:00	2015-12-10	Unicameralism	XIII Riigikogu	II regular session	-	2015-12-10	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-12-10	ParlaMint-EE_2015-12-10_U4	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 10.12.2015, 10:00	2015-12-10	Unicameralism	XIII Riigikogu	II regular session	-	2015-12-10	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	a_anvelt_19690930	Anvelt, Andres	M	1969	
ParlaMint-EE-en_2015-12-10	ParlaMint-EE_2015-12-10_U5	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 10.12.2015, 10:00	2015-12-10	Unicameralism	XIII Riigikogu	II regular session	-	2015-12-10	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-12-10	ParlaMint-EE_2015-12-10_U6	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 10.12.2015, 10:00	2015-12-10	Unicameralism	XIII Riigikogu	II regular session	-	2015-12-10	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	a_anvelt_19690930	Anvelt, Andres	M	1969	
ParlaMint-EE-en_2015-12-10	ParlaMint-EE_2015-12-10_U7	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 10.12.2015, 10:00	2015-12-10	Unicameralism	XIII Riigikogu	II regular session	-	2015-12-10	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2015-12-10	ParlaMint-EE_2015-12-10_U8	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 10.12.2015, 10:00	2015-12-10	Unicameralism	XIII Riigikogu	II regular session	-	2015-12-10	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	a_sepp_19711025	Sepp, Andre	M	1971	
ParlaMint-EE-en_2015-12-10	ParlaMint-EE_2015-12-10_U9	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 10.12.2015, 10:00	2015-12-10	Unicameralism	XIII Riigikogu	II regular session	-	2015-12-10	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	a_anvelt_19690930	Anvelt, Andres	M	1969	
ParlaMint-EE-en_2015-12-10	ParlaMint-EE_2015-12-10_U10	XIII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 10.12.2015, 10:00	2015-12-10	Unicameralism	XIII Riigikogu	II regular session	-	2015-12-10	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
