Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-GA-en_2015-12-23-DSPG136	ParlaMint-ES-GA_2015-12-23-DSPG136.u1	Minutes of the Assembly of the Galician Parliament	2015-12-23	Unicameralism	IX Lexislatura	-	Número 136	23.12.2015	-	Reference	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	RojoPilarMilagros	Rojo Noguera, Pilar Milagros	F	1960	
ParlaMint-ES-GA-en_2015-12-23-DSPG136	ParlaMint-ES-GA_2015-12-23-DSPG136.u2	Minutes of the Assembly of the Galician Parliament	2015-12-23	Unicameralism	IX Lexislatura	-	Número 136	23.12.2015	-	Reference	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	RojoPilarMilagros	Rojo Noguera, Pilar Milagros	F	1960	
ParlaMint-ES-GA-en_2015-12-23-DSPG136	ParlaMint-ES-GA_2015-12-23-DSPG136.u3	Minutes of the Assembly of the Galician Parliament	2015-12-23	Unicameralism	IX Lexislatura	-	Número 136	23.12.2015	-	Reference	English	Regular	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	BalseiroJoséManuel	Balseiro Orol, José Manuel	M	1962	
ParlaMint-ES-GA-en_2015-12-23-DSPG136	ParlaMint-ES-GA_2015-12-23-DSPG136.u4	Minutes of the Assembly of the Galician Parliament	2015-12-23	Unicameralism	IX Lexislatura	-	Número 136	23.12.2015	-	Reference	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	RojoPilarMilagros	Rojo Noguera, Pilar Milagros	F	1960	
ParlaMint-ES-GA-en_2015-12-23-DSPG136	ParlaMint-ES-GA_2015-12-23-DSPG136.u5	Minutes of the Assembly of the Galician Parliament	2015-12-23	Unicameralism	IX Lexislatura	-	Número 136	23.12.2015	-	Reference	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	RojoPilarMilagros	Rojo Noguera, Pilar Milagros	F	1960	
ParlaMint-ES-GA-en_2015-12-23-DSPG136	ParlaMint-ES-GA_2015-12-23-DSPG136.u6	Minutes of the Assembly of the Galician Parliament	2015-12-23	Unicameralism	IX Lexislatura	-	Número 136	23.12.2015	-	Reference	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	RojoPilarMilagros	Rojo Noguera, Pilar Milagros	F	1960	
