Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2020-01-24-0	ParlaMint-RS_2020-01-24-0.u69368	Term 11, Meeting v12	2020-01-24	Unicameralism	11. mandat	-	Zasedanje v12	2020-01-24	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
ParlaMint-RS-en_2020-01-24-0	ParlaMint-RS_2020-01-24-0.u69369	Term 11, Meeting v12	2020-01-24	Unicameralism	11. mandat	-	Zasedanje v12	2020-01-24	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	JovanovićNataša	Jovanović, Nataša	F	1966	
ParlaMint-RS-en_2020-01-24-0	ParlaMint-RS_2020-01-24-0.u69370	Term 11, Meeting v12	2020-01-24	Unicameralism	11. mandat	-	Zasedanje v12	2020-01-24	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
ParlaMint-RS-en_2020-01-24-0	ParlaMint-RS_2020-01-24-0.u69371	Term 11, Meeting v12	2020-01-24	Unicameralism	11. mandat	-	Zasedanje v12	2020-01-24	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	JovanovićNataša	Jovanović, Nataša	F	1966	
ParlaMint-RS-en_2020-01-24-0	ParlaMint-RS_2020-01-24-0.u69372	Term 11, Meeting v12	2020-01-24	Unicameralism	11. mandat	-	Zasedanje v12	2020-01-24	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
ParlaMint-RS-en_2020-01-24-0	ParlaMint-RS_2020-01-24-0.u69373	Term 11, Meeting v12	2020-01-24	Unicameralism	11. mandat	-	Zasedanje v12	2020-01-24	-	Reference	English	Regular	MP	notMinister	NSS	Narodna seljačka stranka	Coalition	Centre-right	RističevićMarijan	Rističević, Marijan	M	1958	
ParlaMint-RS-en_2020-01-24-0	ParlaMint-RS_2020-01-24-0.u69374	Term 11, Meeting v12	2020-01-24	Unicameralism	11. mandat	-	Zasedanje v12	2020-01-24	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
ParlaMint-RS-en_2020-01-24-0	ParlaMint-RS_2020-01-24-0.u69375	Term 11, Meeting v12	2020-01-24	Unicameralism	11. mandat	-	Zasedanje v12	2020-01-24	-	Reference	English	Regular	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	MićinŽarko	Mićin, Žarko	M	1982	
ParlaMint-RS-en_2020-01-24-0	ParlaMint-RS_2020-01-24-0.u69376	Term 11, Meeting v12	2020-01-24	Unicameralism	11. mandat	-	Zasedanje v12	2020-01-24	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
ParlaMint-RS-en_2020-01-24-0	ParlaMint-RS_2020-01-24-0.u69377	Term 11, Meeting v12	2020-01-24	Unicameralism	11. mandat	-	Zasedanje v12	2020-01-24	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	JojićPetar	Jojić, Petar	M	1938	
ParlaMint-RS-en_2020-01-24-0	ParlaMint-RS_2020-01-24-0.u69378	Term 11, Meeting v12	2020-01-24	Unicameralism	11. mandat	-	Zasedanje v12	2020-01-24	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
ParlaMint-RS-en_2020-01-24-0	ParlaMint-RS_2020-01-24-0.u69379	Term 11, Meeting v12	2020-01-24	Unicameralism	11. mandat	-	Zasedanje v12	2020-01-24	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	MirčićMilorad	Mirčić, Milorad	M	1956	
ParlaMint-RS-en_2020-01-24-0	ParlaMint-RS_2020-01-24-0.u69380	Term 11, Meeting v12	2020-01-24	Unicameralism	11. mandat	-	Zasedanje v12	2020-01-24	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
ParlaMint-RS-en_2020-01-24-0	ParlaMint-RS_2020-01-24-0.u69381	Term 11, Meeting v12	2020-01-24	Unicameralism	11. mandat	-	Zasedanje v12	2020-01-24	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	JovanovićNataša	Jovanović, Nataša	F	1966	
ParlaMint-RS-en_2020-01-24-0	ParlaMint-RS_2020-01-24-0.u69382	Term 11, Meeting v12	2020-01-24	Unicameralism	11. mandat	-	Zasedanje v12	2020-01-24	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
ParlaMint-RS-en_2020-01-24-0	ParlaMint-RS_2020-01-24-0.u69383	Term 11, Meeting v12	2020-01-24	Unicameralism	11. mandat	-	Zasedanje v12	2020-01-24	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	NikolićRužica	Nikolić, Ružica	F	1976	
