Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2020-02-04-0	ParlaMint-RS_2020-02-04-0.u70722	Term 11, Meeting v21	2020-02-04	Unicameralism	11. mandat	-	Zasedanje v21	2020-02-04	-	COVID	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	ArsićVeroljub	Arsić, Veroljub	M	1969	
ParlaMint-RS-en_2020-02-04-0	ParlaMint-RS_2020-02-04-0.u70723	Term 11, Meeting v21	2020-02-04	Unicameralism	11. mandat	-	Zasedanje v21	2020-02-04	-	COVID	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	ŠešeljAleksandar	Šešelj, Aleksandar	M	1993	
ParlaMint-RS-en_2020-02-04-0	ParlaMint-RS_2020-02-04-0.u70724	Term 11, Meeting v21	2020-02-04	Unicameralism	11. mandat	-	Zasedanje v21	2020-02-04	-	COVID	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	ArsićVeroljub	Arsić, Veroljub	M	1969	
ParlaMint-RS-en_2020-02-04-0	ParlaMint-RS_2020-02-04-0.u70725	Term 11, Meeting v21	2020-02-04	Unicameralism	11. mandat	-	Zasedanje v21	2020-02-04	-	COVID	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Coalition	Centre-left	DragašMirjana	Dragaš, Mirjana	F	1950	
ParlaMint-RS-en_2020-02-04-0	ParlaMint-RS_2020-02-04-0.u70726	Term 11, Meeting v21	2020-02-04	Unicameralism	11. mandat	-	Zasedanje v21	2020-02-04	-	COVID	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	ArsićVeroljub	Arsić, Veroljub	M	1969	
ParlaMint-RS-en_2020-02-04-0	ParlaMint-RS_2020-02-04-0.u70727	Term 11, Meeting v21	2020-02-04	Unicameralism	11. mandat	-	Zasedanje v21	2020-02-04	-	COVID	English	Regular	MP	notMinister	NSS	Narodna seljačka stranka	Coalition	Centre-right	RističevićMarijan	Rističević, Marijan	M	1958	
ParlaMint-RS-en_2020-02-04-0	ParlaMint-RS_2020-02-04-0.u70728	Term 11, Meeting v21	2020-02-04	Unicameralism	11. mandat	-	Zasedanje v21	2020-02-04	-	COVID	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	ArsićVeroljub	Arsić, Veroljub	M	1969	
ParlaMint-RS-en_2020-02-04-0	ParlaMint-RS_2020-02-04-0.u70729	Term 11, Meeting v21	2020-02-04	Unicameralism	11. mandat	-	Zasedanje v21	2020-02-04	-	COVID	English	Regular	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	MarkovićAleksandar	Marković, Aleksandar	M	1981	
ParlaMint-RS-en_2020-02-04-0	ParlaMint-RS_2020-02-04-0.u70730	Term 11, Meeting v21	2020-02-04	Unicameralism	11. mandat	-	Zasedanje v21	2020-02-04	-	COVID	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	ArsićVeroljub	Arsić, Veroljub	M	1969	
ParlaMint-RS-en_2020-02-04-0	ParlaMint-RS_2020-02-04-0.u70731	Term 11, Meeting v21	2020-02-04	Unicameralism	11. mandat	-	Zasedanje v21	2020-02-04	-	COVID	English	Regular	MP	notMinister	DSS	Demokratska stranka Srbije	Coalition	Right	VukadinovićĐorđe	Vukadinović, Đorđe	M	1962	
ParlaMint-RS-en_2020-02-04-0	ParlaMint-RS_2020-02-04-0.u70732	Term 11, Meeting v21	2020-02-04	Unicameralism	11. mandat	-	Zasedanje v21	2020-02-04	-	COVID	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	ArsićVeroljub	Arsić, Veroljub	M	1969	
ParlaMint-RS-en_2020-02-04-0	ParlaMint-RS_2020-02-04-0.u70733	Term 11, Meeting v21	2020-02-04	Unicameralism	11. mandat	-	Zasedanje v21	2020-02-04	-	COVID	English	Regular	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	JevtovićVukojičićMilanka	Jevtović Vukojičić, Milanka	F	1960	
ParlaMint-RS-en_2020-02-04-0	ParlaMint-RS_2020-02-04-0.u70734	Term 11, Meeting v21	2020-02-04	Unicameralism	11. mandat	-	Zasedanje v21	2020-02-04	-	COVID	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	ArsićVeroljub	Arsić, Veroljub	M	1969	
ParlaMint-RS-en_2020-02-04-0	ParlaMint-RS_2020-02-04-0.u70735	Term 11, Meeting v21	2020-02-04	Unicameralism	11. mandat	-	Zasedanje v21	2020-02-04	-	COVID	English	Regular	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	OrlićVladimir	Orlić, Vladimir	M	1983	
ParlaMint-RS-en_2020-02-04-0	ParlaMint-RS_2020-02-04-0.u70736	Term 11, Meeting v21	2020-02-04	Unicameralism	11. mandat	-	Zasedanje v21	2020-02-04	-	COVID	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	ArsićVeroljub	Arsić, Veroljub	M	1969	
ParlaMint-RS-en_2020-02-04-0	ParlaMint-RS_2020-02-04-0.u70737	Term 11, Meeting v21	2020-02-04	Unicameralism	11. mandat	-	Zasedanje v21	2020-02-04	-	COVID	English	Regular	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	ŽarićKovačevićJelena	Žarić Kovačević, Jelena	F	1981	
ParlaMint-RS-en_2020-02-04-0	ParlaMint-RS_2020-02-04-0.u70738	Term 11, Meeting v21	2020-02-04	Unicameralism	11. mandat	-	Zasedanje v21	2020-02-04	-	COVID	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	ArsićVeroljub	Arsić, Veroljub	M	1969	
ParlaMint-RS-en_2020-02-04-0	ParlaMint-RS_2020-02-04-0.u70739	Term 11, Meeting v21	2020-02-04	Unicameralism	11. mandat	-	Zasedanje v21	2020-02-04	-	COVID	English	Regular	MP	notMinister	PS	Pokret socijalista	Coalition	Left	KomlenskiĐorđe	Komlenski, Đorđe	M	1965	
ParlaMint-RS-en_2020-02-04-0	ParlaMint-RS_2020-02-04-0.u70740	Term 11, Meeting v21	2020-02-04	Unicameralism	11. mandat	-	Zasedanje v21	2020-02-04	-	COVID	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	ArsićVeroljub	Arsić, Veroljub	M	1969	
ParlaMint-RS-en_2020-02-04-0	ParlaMint-RS_2020-02-04-0.u70741	Term 11, Meeting v21	2020-02-04	Unicameralism	11. mandat	-	Zasedanje v21	2020-02-04	-	COVID	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
