Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2007-11-24-0	ParlaMint-RS_2007-11-24-0.u11720	Term 7, Meeting 3	2007-11-24	Unicameralism	7. mandat	-	Zasedanje 3	2007-11-24	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	NikolićTomislav	Nikolić, Tomislav	M	1952	
ParlaMint-RS-en_2007-11-24-0	ParlaMint-RS_2007-11-24-0.u11721	Term 7, Meeting 3	2007-11-24	Unicameralism	7. mandat	-	Zasedanje 3	2007-11-24	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	DulićOliver	Dulić, Oliver	M	1975	
ParlaMint-RS-en_2007-11-24-0	ParlaMint-RS_2007-11-24-0.u11722	Term 7, Meeting 3	2007-11-24	Unicameralism	7. mandat	-	Zasedanje 3	2007-11-24	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-RS-en_2007-11-24-0	ParlaMint-RS_2007-11-24-0.u11723	Term 7, Meeting 3	2007-11-24	Unicameralism	7. mandat	-	Zasedanje 3	2007-11-24	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	DulićOliver	Dulić, Oliver	M	1975	
