Session,Date,Silent Generation,Baby Boomers,Generation X,Millennials,Generation Z
ParlaMint-LV-en_2014-11-04-PT12-264-meta.tsv,2014-11-04,0,0,0,0,0
ParlaMint-LV-en_2014-11-05-PT12-265-meta.tsv,2014-11-05,0,0,0,0,0
ParlaMint-LV-en_2014-11-05-PT12-266-meta.tsv,2014-11-05,0,0,0,0,0
ParlaMint-LV-en_2014-11-06-PT12-267-meta.tsv,2014-11-06,0,0,0,0,0
ParlaMint-LV-en_2014-11-11-PT12-270-meta.tsv,2014-11-11,0,0,0,0,0
ParlaMint-LV-en_2014-11-13-PT12-269-meta.tsv,2014-11-13,0,0,0,0,0
ParlaMint-LV-en_2014-11-13-PT12-271-meta.tsv,2014-11-13,0,0,0,0,0
ParlaMint-LV-en_2014-11-18-PT12-272-meta.tsv,2014-11-18,0,0,0,0,0
ParlaMint-LV-en_2014-11-20-PT12-273-meta.tsv,2014-11-20,0,0,0,0,0
ParlaMint-LV-en_2014-11-27-PT12-274-meta.tsv,2014-11-27,0,0,0,0,0
ParlaMint-LV-en_2014-12-04-PT12-275-meta.tsv,2014-12-04,0,0,0,0,0
ParlaMint-LV-en_2014-12-11-PT12-276-meta.tsv,2014-12-11,0,0,0,0,0
ParlaMint-LV-en_2014-12-17-PT12-278-meta.tsv,2014-12-17,0,0,0,0,0
ParlaMint-LV-en_2014-12-18-PT12-279-meta.tsv,2014-12-18,0,0,0,0,0
ParlaMint-LV-en_2015-01-15-PT12-280-meta.tsv,2015-01-15,0,0,0,0,0
ParlaMint-LV-en_2015-01-22-PT12-281-meta.tsv,2015-01-22,0,0,0,0,0
ParlaMint-LV-en_2015-01-29-PT12-282-meta.tsv,2015-01-29,0,0,0,0,0
ParlaMint-LV-en_2015-02-05-PT12-283-meta.tsv,2015-02-05,0,0,0,0,0
ParlaMint-LV-en_2015-02-12-PT12-285-meta.tsv,2015-02-12,0,0,0,0,0
ParlaMint-LV-en_2015-02-19-PT12-286-meta.tsv,2015-02-19,0,0,0,0,0
ParlaMint-LV-en_2015-02-26-PT12-287-meta.tsv,2015-02-26,0,0,0,0,0
ParlaMint-LV-en_2015-03-05-PT12-289-meta.tsv,2015-03-05,0,0,0,0,0
ParlaMint-LV-en_2015-03-12-PT12-290-meta.tsv,2015-03-12,0,0,0,0,0
ParlaMint-LV-en_2015-03-19-PT12-291-meta.tsv,2015-03-19,0,0,0,0,0
ParlaMint-LV-en_2015-03-26-PT12-292-meta.tsv,2015-03-26,0,0,0,0,0
ParlaMint-LV-en_2015-04-16-PT12-293-meta.tsv,2015-04-16,0,0,0,0,0
ParlaMint-LV-en_2015-04-23-PT12-294-meta.tsv,2015-04-23,0,0,0,0,0
ParlaMint-LV-en_2015-04-23-PT12-295-meta.tsv,2015-04-23,0,0,0,0,0
ParlaMint-LV-en_2015-04-30-PT12-296-meta.tsv,2015-04-30,0,0,0,0,0
ParlaMint-LV-en_2015-04-30-PT12-297-meta.tsv,2015-04-30,0,0,0,0,0
ParlaMint-LV-en_2015-05-04-PT12-298-meta.tsv,2015-05-04,0,0,0,0,0
ParlaMint-LV-en_2015-05-07-PT12-299-meta.tsv,2015-05-07,0,0,0,0,0
ParlaMint-LV-en_2015-05-14-PT12-300-meta.tsv,2015-05-14,0,0,0,0,0
ParlaMint-LV-en_2015-05-21-PT12-301-meta.tsv,2015-05-21,0,0,0,0,0
ParlaMint-LV-en_2015-05-28-PT12-302-meta.tsv,2015-05-28,0,0,0,0,0
ParlaMint-LV-en_2015-06-03-PT12-303-meta.tsv,2015-06-03,0,0,0,0,0
ParlaMint-LV-en_2015-06-04-PT12-304-meta.tsv,2015-06-04,0,0,0,0,0
ParlaMint-LV-en_2015-06-11-PT12-309-meta.tsv,2015-06-11,0,0,0,0,0
ParlaMint-LV-en_2015-06-18-PT12-311-meta.tsv,2015-06-18,0,0,0,0,0
ParlaMint-LV-en_2015-07-08-PT12-312-meta.tsv,2015-07-08,0,0,0,0,0
ParlaMint-LV-en_2015-07-08-PT12-313-meta.tsv,2015-07-08,0,0,0,0,0
ParlaMint-LV-en_2015-07-09-PT12-314-meta.tsv,2015-07-09,0,0,0,0,0
ParlaMint-LV-en_2015-09-03-PT12-315-meta.tsv,2015-09-03,0,0,0,0,0
ParlaMint-LV-en_2015-09-10-PT12-316-meta.tsv,2015-09-10,0,0,0,0,0
ParlaMint-LV-en_2015-09-17-PT12-317-meta.tsv,2015-09-17,0,0,0,0,0
ParlaMint-LV-en_2015-09-24-PT12-318-meta.tsv,2015-09-24,0,0,0,0,0
ParlaMint-LV-en_2015-10-01-PT12-320-meta.tsv,2015-10-01,0,0,0,0,0
ParlaMint-LV-en_2015-10-08-PT12-321-meta.tsv,2015-10-08,0,0,0,0,0
ParlaMint-LV-en_2015-10-15-PT12-322-meta.tsv,2015-10-15,0,0,0,0,0
ParlaMint-LV-en_2015-10-22-PT12-324-meta.tsv,2015-10-22,0,0,0,0,0
ParlaMint-LV-en_2015-10-29-PT12-325-meta.tsv,2015-10-29,0,0,0,0,0
ParlaMint-LV-en_2015-11-03-PT12-326-meta.tsv,2015-11-03,0,0,0,0,0
ParlaMint-LV-en_2015-11-05-PT12-327-meta.tsv,2015-11-05,0,0,0,0,0
ParlaMint-LV-en_2015-11-12-PT12-329-meta.tsv,2015-11-12,0,0,0,0,0
ParlaMint-LV-en_2015-11-18-PT12-330-meta.tsv,2015-11-18,0,0,0,0,0
ParlaMint-LV-en_2015-11-19-PT12-331-meta.tsv,2015-11-19,0,0,0,0,0
ParlaMint-LV-en_2015-11-26-PT12-332-meta.tsv,2015-11-26,0,0,0,0,0
ParlaMint-LV-en_2015-11-30-PT12-333-meta.tsv,2015-11-30,0,0,0,0,0
ParlaMint-LV-en_2015-12-03-PT12-335-meta.tsv,2015-12-03,0,0,0,0,0
ParlaMint-LV-en_2015-12-10-PT12-336-meta.tsv,2015-12-10,0,0,0,0,0
ParlaMint-LV-en_2015-12-17-PT12-337-meta.tsv,2015-12-17,0,0,0,0,0
ParlaMint-LV-en_2016-01-14-PT12-338-meta.tsv,2016-01-14,0,0,0,0,0
ParlaMint-LV-en_2016-01-21-PT12-339-meta.tsv,2016-01-21,0,0,0,0,0
ParlaMint-LV-en_2016-01-26-PT12-340-meta.tsv,2016-01-26,0,0,0,0,0
ParlaMint-LV-en_2016-01-28-PT12-341-meta.tsv,2016-01-28,0,0,0,0,0
ParlaMint-LV-en_2016-02-04-PT12-342-meta.tsv,2016-02-04,0,0,0,0,0
ParlaMint-LV-en_2016-02-11-PT12-344-meta.tsv,2016-02-11,0,0,0,0,0
ParlaMint-LV-en_2016-02-11-PT12-345-meta.tsv,2016-02-11,0,0,0,0,0
ParlaMint-LV-en_2016-02-11-PT12-346-meta.tsv,2016-02-11,0,0,0,0,0
ParlaMint-LV-en_2016-02-18-PT12-347-meta.tsv,2016-02-18,0,0,0,0,0
ParlaMint-LV-en_2016-02-18-PT12-348-meta.tsv,2016-02-18,0,0,0,0,0
ParlaMint-LV-en_2016-02-25-PT12-349-meta.tsv,2016-02-25,0,0,0,0,0
ParlaMint-LV-en_2016-03-03-PT12-350-meta.tsv,2016-03-03,0,0,0,0,0
ParlaMint-LV-en_2016-03-10-PT12-352-meta.tsv,2016-03-10,0,0,0,0,0
ParlaMint-LV-en_2016-03-17-PT12-353-meta.tsv,2016-03-17,0,0,0,0,0
ParlaMint-LV-en_2016-03-31-PT12-355-meta.tsv,2016-03-31,0,0,0,0,0
ParlaMint-LV-en_2016-03-31-PT12-356-meta.tsv,2016-03-31,0,0,0,0,0
ParlaMint-LV-en_2016-04-07-PT12-357-meta.tsv,2016-04-07,0,0,0,0,0
ParlaMint-LV-en_2016-04-14-PT12-358-meta.tsv,2016-04-14,0,0,0,0,0
ParlaMint-LV-en_2016-04-21-PT12-359-meta.tsv,2016-04-21,0,0,0,0,0
ParlaMint-LV-en_2016-04-28-PT12-360-meta.tsv,2016-04-28,0,0,0,0,0
ParlaMint-LV-en_2016-05-04-PT12-361-meta.tsv,2016-05-04,0,0,0,0,0
ParlaMint-LV-en_2016-05-05-PT12-362-meta.tsv,2016-05-05,0,0,0,0,0
ParlaMint-LV-en_2016-05-12-PT12-364-meta.tsv,2016-05-12,0,0,0,0,0
ParlaMint-LV-en_2016-05-19-PT12-365-meta.tsv,2016-05-19,0,0,0,0,0
ParlaMint-LV-en_2016-05-26-PT12-366-meta.tsv,2016-05-26,0,0,0,0,0
ParlaMint-LV-en_2016-06-02-PT12-368-meta.tsv,2016-06-02,0,0,0,0,0
ParlaMint-LV-en_2016-06-09-PT12-370-meta.tsv,2016-06-09,0,0,0,0,0
ParlaMint-LV-en_2016-06-16-PT12-371-meta.tsv,2016-06-16,0,0,0,0,0
ParlaMint-LV-en_2016-09-08-PT12-373-meta.tsv,2016-09-08,0,0,0,0,0
ParlaMint-LV-en_2016-09-15-PT12-374-meta.tsv,2016-09-15,0,0,0,0,0
ParlaMint-LV-en_2016-09-22-PT12-375-meta.tsv,2016-09-22,0,0,0,0,0
ParlaMint-LV-en_2016-09-29-PT12-376-meta.tsv,2016-09-29,0,0,0,0,0
ParlaMint-LV-en_2016-10-06-PT12-378-meta.tsv,2016-10-06,0,0,0,0,0
ParlaMint-LV-en_2016-10-13-PT12-379-meta.tsv,2016-10-13,0,0,0,0,0
ParlaMint-LV-en_2016-10-20-PT12-380-meta.tsv,2016-10-20,0,0,0,0,0
ParlaMint-LV-en_2016-10-20-PT12-381-meta.tsv,2016-10-20,0,0,0,0,0
ParlaMint-LV-en_2016-10-27-PT12-382-meta.tsv,2016-10-27,0,0,0,0,0
ParlaMint-LV-en_2016-10-31-PT12-383-meta.tsv,2016-10-31,0,0,0,0,0
ParlaMint-LV-en_2016-11-03-PT12-384-meta.tsv,2016-11-03,0,0,0,0,0
ParlaMint-LV-en_2016-11-10-PT12-385-meta.tsv,2016-11-10,0,0,0,0,0
ParlaMint-LV-en_2016-11-17-PT12-386-meta.tsv,2016-11-17,0,0,0,0,0
ParlaMint-LV-en_2016-11-18-PT12-387-meta.tsv,2016-11-18,0,0,0,0,0
ParlaMint-LV-en_2016-11-23-PT12-388-meta.tsv,2016-11-23,0,0,0,0,0
ParlaMint-LV-en_2016-12-01-PT12-389-meta.tsv,2016-12-01,0,0,0,0,0
ParlaMint-LV-en_2016-12-01-PT12-390-meta.tsv,2016-12-01,0,0,0,0,0
ParlaMint-LV-en_2016-12-08-PT12-391-meta.tsv,2016-12-08,0,0,0,0,0
ParlaMint-LV-en_2016-12-15-PT12-392-meta.tsv,2016-12-15,0,0,0,0,0
ParlaMint-LV-en_2016-12-20-PT12-393-meta.tsv,2016-12-20,0,0,0,0,0
ParlaMint-LV-en_2016-12-22-PT12-394-meta.tsv,2016-12-22,0,0,0,0,0
ParlaMint-LV-en_2017-01-12-PT12-395-meta.tsv,2017-01-12,0,0,0,0,0
ParlaMint-LV-en_2017-01-19-PT12-396-meta.tsv,2017-01-19,0,0,0,0,0
ParlaMint-LV-en_2017-01-26-PT12-397-meta.tsv,2017-01-26,0,0,0,0,0
ParlaMint-LV-en_2017-02-02-PT12-398-meta.tsv,2017-02-02,0,0,0,0,0
ParlaMint-LV-en_2017-02-02-PT12-399-meta.tsv,2017-02-02,0,0,0,0,0
ParlaMint-LV-en_2017-02-09-PT12-400-meta.tsv,2017-02-09,0,0,0,0,0
ParlaMint-LV-en_2017-02-16-PT12-402-meta.tsv,2017-02-16,0,0,0,0,0
ParlaMint-LV-en_2017-02-23-PT12-403-meta.tsv,2017-02-23,0,0,0,0,0
ParlaMint-LV-en_2017-03-02-PT12-405-meta.tsv,2017-03-02,0,0,0,0,0
ParlaMint-LV-en_2017-03-09-PT12-407-meta.tsv,2017-03-09,0,0,0,0,0
ParlaMint-LV-en_2017-03-15-PT12-409-meta.tsv,2017-03-15,0,0,0,0,0
ParlaMint-LV-en_2017-03-16-PT12-410-meta.tsv,2017-03-16,0,0,0,0,0
ParlaMint-LV-en_2017-03-23-PT12-412-meta.tsv,2017-03-23,0,0,0,0,0
ParlaMint-LV-en_2017-03-30-PT12-411-meta.tsv,2017-03-30,0,0,0,0,0
ParlaMint-LV-en_2017-04-06-PT12-413-meta.tsv,2017-04-06,0,0,0,0,0
ParlaMint-LV-en_2017-04-20-PT12-414-meta.tsv,2017-04-20,0,0,0,0,0
ParlaMint-LV-en_2017-04-27-PT12-415-meta.tsv,2017-04-27,0,0,0,0,0
ParlaMint-LV-en_2017-05-04-PT12-416-meta.tsv,2017-05-04,0,0,0,0,0
ParlaMint-LV-en_2017-05-11-PT12-418-meta.tsv,2017-05-11,0,0,0,0,0
ParlaMint-LV-en_2017-05-18-PT12-419-meta.tsv,2017-05-18,0,0,0,0,0
ParlaMint-LV-en_2017-05-25-PT12-420-meta.tsv,2017-05-25,0,0,0,0,0
ParlaMint-LV-en_2017-06-01-PT12-422-meta.tsv,2017-06-01,0,0,0,0,0
ParlaMint-LV-en_2017-06-08-PT12-423-meta.tsv,2017-06-08,0,0,0,0,0
ParlaMint-LV-en_2017-06-15-PT12-424-meta.tsv,2017-06-15,0,0,0,0,0
ParlaMint-LV-en_2017-06-22-PT12-426-meta.tsv,2017-06-22,0,0,0,0,0
ParlaMint-LV-en_2017-07-13-PT12-428-meta.tsv,2017-07-13,0,0,0,0,0
ParlaMint-LV-en_2017-07-13-PT12-430-meta.tsv,2017-07-13,0,0,0,0,0
ParlaMint-LV-en_2017-07-21-PT12-431-meta.tsv,2017-07-21,0,0,0,0,0
ParlaMint-LV-en_2017-07-21-PT12-432-meta.tsv,2017-07-21,0,0,0,0,0
ParlaMint-LV-en_2017-07-27-PT12-433-meta.tsv,2017-07-27,0,0,0,0,0
ParlaMint-LV-en_2017-07-28-PT12-434-meta.tsv,2017-07-28,0,0,0,0,0
ParlaMint-LV-en_2017-09-07-PT12-435-meta.tsv,2017-09-07,0,0,0,0,0
ParlaMint-LV-en_2017-09-14-PT12-436-meta.tsv,2017-09-14,0,0,0,0,0
ParlaMint-LV-en_2017-09-21-PT12-437-meta.tsv,2017-09-21,0,0,0,0,0
ParlaMint-LV-en_2017-09-28-PT12-438-meta.tsv,2017-09-28,0,0,0,0,0
ParlaMint-LV-en_2017-10-05-PT12-439-meta.tsv,2017-10-05,0,0,0,0,0
ParlaMint-LV-en_2017-10-12-PT12-440-meta.tsv,2017-10-12,0,0,0,0,0
ParlaMint-LV-en_2017-10-19-PT12-441-meta.tsv,2017-10-19,0,0,0,0,0
ParlaMint-LV-en_2017-10-25-PT12-442-meta.tsv,2017-10-25,0,0,0,0,0
ParlaMint-LV-en_2017-10-26-PT12-443-meta.tsv,2017-10-26,0,0,0,0,0
ParlaMint-LV-en_2017-10-26-PT12-444-meta.tsv,2017-10-26,0,0,0,0,0
ParlaMint-LV-en_2017-11-02-PT12-445-meta.tsv,2017-11-02,0,0,0,0,0
ParlaMint-LV-en_2017-11-09-PT12-447-meta.tsv,2017-11-09,0,0,0,0,0
ParlaMint-LV-en_2017-11-16-PT12-448-meta.tsv,2017-11-16,0,0,0,0,0
ParlaMint-LV-en_2017-11-18-PT12-449-meta.tsv,2017-11-18,0,0,0,0,0
ParlaMint-LV-en_2017-11-22-PT12-450-meta.tsv,2017-11-22,0,0,0,0,0
ParlaMint-LV-en_2017-11-23-PT12-451-meta.tsv,2017-11-23,0,0,0,0,0
ParlaMint-LV-en_2017-11-23-PT12-452-meta.tsv,2017-11-23,0,0,0,0,0
ParlaMint-LV-en_2017-11-30-PT12-454-meta.tsv,2017-11-30,0,0,0,0,0
ParlaMint-LV-en_2017-12-07-PT12-456-meta.tsv,2017-12-07,0,0,0,0,0
ParlaMint-LV-en_2017-12-14-PT12-457-meta.tsv,2017-12-14,0,0,0,0,0
ParlaMint-LV-en_2017-12-21-PT12-458-meta.tsv,2017-12-21,0,0,0,0,0
ParlaMint-LV-en_2018-01-11-PT12-459-meta.tsv,2018-01-11,0,0,0,0,0
ParlaMint-LV-en_2018-01-18-PT12-460-meta.tsv,2018-01-18,0,0,0,0,0
ParlaMint-LV-en_2018-01-25-PT12-461-meta.tsv,2018-01-25,0,0,0,0,0
ParlaMint-LV-en_2018-02-01-PT12-462-meta.tsv,2018-02-01,0,0,0,0,0
ParlaMint-LV-en_2018-02-01-PT12-463-meta.tsv,2018-02-01,0,0,0,0,0
ParlaMint-LV-en_2018-02-08-PT12-464-meta.tsv,2018-02-08,0,0,0,0,0
ParlaMint-LV-en_2018-02-15-PT12-465-meta.tsv,2018-02-15,0,0,0,0,0
ParlaMint-LV-en_2018-02-22-PT12-468-meta.tsv,2018-02-22,0,0,0,0,0
ParlaMint-LV-en_2018-03-01-PT12-469-meta.tsv,2018-03-01,0,0,0,0,0
ParlaMint-LV-en_2018-03-08-PT12-472-meta.tsv,2018-03-08,0,0,0,0,0
ParlaMint-LV-en_2018-03-15-PT12-473-meta.tsv,2018-03-15,0,0,0,0,0
ParlaMint-LV-en_2018-03-22-PT12-474-meta.tsv,2018-03-22,0,0,0,0,0
ParlaMint-LV-en_2018-04-12-PT12-475-meta.tsv,2018-04-12,0,0,0,0,0
ParlaMint-LV-en_2018-04-19-PT12-476-meta.tsv,2018-04-19,0,0,0,0,0
ParlaMint-LV-en_2018-04-26-PT12-477-meta.tsv,2018-04-26,0,0,0,0,0
ParlaMint-LV-en_2018-05-03-PT12-479-meta.tsv,2018-05-03,0,0,0,0,0
ParlaMint-LV-en_2018-05-04-PT12-478-meta.tsv,2018-05-04,0,0,0,0,0
ParlaMint-LV-en_2018-05-10-PT12-480-meta.tsv,2018-05-10,0,0,0,0,0
ParlaMint-LV-en_2018-05-17-PT12-481-meta.tsv,2018-05-17,0,0,0,0,0
ParlaMint-LV-en_2018-05-24-PT12-483-meta.tsv,2018-05-24,0,0,0,0,0
ParlaMint-LV-en_2018-05-31-PT12-484-meta.tsv,2018-05-31,0,0,0,0,0
ParlaMint-LV-en_2018-06-07-PT12-486-meta.tsv,2018-06-07,0,0,0,0,0
ParlaMint-LV-en_2018-06-14-PT12-487-meta.tsv,2018-06-14,0,0,0,0,0
ParlaMint-LV-en_2018-06-20-PT12-488-meta.tsv,2018-06-20,0,0,0,0,0
ParlaMint-LV-en_2018-06-20-PT12-489-meta.tsv,2018-06-20,0,0,0,0,0
ParlaMint-LV-en_2018-06-21-PT12-490-meta.tsv,2018-06-21,0,0,0,0,0
ParlaMint-LV-en_2018-09-06-PT12-491-meta.tsv,2018-09-06,0,0,0,0,0
ParlaMint-LV-en_2018-09-13-PT12-492-meta.tsv,2018-09-13,0,0,0,0,0
ParlaMint-LV-en_2018-09-20-PT12-493-meta.tsv,2018-09-20,0,0,0,0,0
ParlaMint-LV-en_2018-09-27-PT12-494-meta.tsv,2018-09-27,0,0,0,0,0
ParlaMint-LV-en_2018-10-04-PT12-495-meta.tsv,2018-10-04,0,0,0,0,0
ParlaMint-LV-en_2018-10-11-PT12-496-meta.tsv,2018-10-11,0,0,0,0,0
ParlaMint-LV-en_2018-10-18-PT12-497-meta.tsv,2018-10-18,0,0,0,0,0
