Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2017-01-13-prot-201617--54	i-d956712ddbb6aef5-3	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 54	2017-01-13	Unicameralism	2016/17	-	-	2016/17--54	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2017-01-13-prot-201617--54	i-d956712ddbb6aef5-9	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 54	2017-01-13	Unicameralism	2016/17	-	-	2016/17--54	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18274557	Hedlund, Roger	M	-	
ParlaMint-SE-en_2017-01-13-prot-201617--54	i-d956712ddbb6aef5-17	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 54	2017-01-13	Unicameralism	2016/17	-	-	2016/17--54	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2017-01-13-prot-201617--54	i-d956712ddbb6aef5-24	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 54	2017-01-13	Unicameralism	2016/17	-	-	2016/17--54	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18274557	Hedlund, Roger	M	-	
ParlaMint-SE-en_2017-01-13-prot-201617--54	i-d956712ddbb6aef5-30	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 54	2017-01-13	Unicameralism	2016/17	-	-	2016/17--54	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2017-01-13-prot-201617--54	i-d956712ddbb6aef5-35	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 54	2017-01-13	Unicameralism	2016/17	-	-	2016/17--54	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18274557	Hedlund, Roger	M	-	
ParlaMint-SE-en_2017-01-13-prot-201617--54	i-d956712ddbb6aef5-39	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 54	2017-01-13	Unicameralism	2016/17	-	-	2016/17--54	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
