Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2017-09-22-prot-201718--9	i-cfaf681e95866446-0	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 9	2017-09-22	Unicameralism	2017/18	-	-	2017/18--9	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2017-09-22-prot-201718--9	i-cfaf681e95866446-8	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 9	2017-09-22	Unicameralism	2017/18	-	-	2017/18--9	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q27299991	Jonson, Pål	M	-	
ParlaMint-SE-en_2017-09-22-prot-201718--9	i-cfaf681e95866446-19	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 9	2017-09-22	Unicameralism	2017/18	-	-	2017/18--9	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2017-09-22-prot-201718--9	i-cfaf681e95866446-27	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 9	2017-09-22	Unicameralism	2017/18	-	-	2017/18--9	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q27299991	Jonson, Pål	M	-	
ParlaMint-SE-en_2017-09-22-prot-201718--9	i-cfaf681e95866446-36	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 9	2017-09-22	Unicameralism	2017/18	-	-	2017/18--9	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2017-09-22-prot-201718--9	i-cfaf681e95866446-45	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 9	2017-09-22	Unicameralism	2017/18	-	-	2017/18--9	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q27299991	Jonson, Pål	M	-	
ParlaMint-SE-en_2017-09-22-prot-201718--9	i-cfaf681e95866446-51	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 9	2017-09-22	Unicameralism	2017/18	-	-	2017/18--9	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
