Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2017-10-10-prot-201718--14	i-36d08cad3f457000-2	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 14	2017-10-10	Unicameralism	2017/18	-	-	2017/18--14	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2017-10-10-prot-201718--14	i-36d08cad3f457000-5	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 14	2017-10-10	Unicameralism	2017/18	-	-	2017/18--14	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2017-10-10-prot-201718--14	i-36d08cad3f457000-12	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 14	2017-10-10	Unicameralism	2017/18	-	-	2017/18--14	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2017-10-10-prot-201718--14	i-36d08cad3f457000-19	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 14	2017-10-10	Unicameralism	2017/18	-	-	2017/18--14	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2017-10-10-prot-201718--14	i-36d08cad3f457000-22	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 14	2017-10-10	Unicameralism	2017/18	-	-	2017/18--14	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2017-10-10-prot-201718--14	i-36d08cad3f457000-23	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 14	2017-10-10	Unicameralism	2017/18	-	-	2017/18--14	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2017-10-10-prot-201718--14	i-36d08cad3f457000-30	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 14	2017-10-10	Unicameralism	2017/18	-	-	2017/18--14	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2017-10-10-prot-201718--14	i-36d08cad3f457000-35	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 14	2017-10-10	Unicameralism	2017/18	-	-	2017/18--14	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6030080	Oscarsson, Mikael	M	-	
ParlaMint-SE-en_2017-10-10-prot-201718--14	i-36d08cad3f457000-40	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 14	2017-10-10	Unicameralism	2017/18	-	-	2017/18--14	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2017-10-10-prot-201718--14	i-36d08cad3f457000-46	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 14	2017-10-10	Unicameralism	2017/18	-	-	2017/18--14	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2017-10-10-prot-201718--14	i-36d08cad3f457000-53	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 14	2017-10-10	Unicameralism	2017/18	-	-	2017/18--14	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6030080	Oscarsson, Mikael	M	-	
ParlaMint-SE-en_2017-10-10-prot-201718--14	i-36d08cad3f457000-60	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 14	2017-10-10	Unicameralism	2017/18	-	-	2017/18--14	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2017-10-10-prot-201718--14	i-36d08cad3f457000-71	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 14	2017-10-10	Unicameralism	2017/18	-	-	2017/18--14	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2017-10-10-prot-201718--14	i-36d08cad3f457000-75	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 14	2017-10-10	Unicameralism	2017/18	-	-	2017/18--14	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6030080	Oscarsson, Mikael	M	-	
ParlaMint-SE-en_2017-10-10-prot-201718--14	i-36d08cad3f457000-78	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 14	2017-10-10	Unicameralism	2017/18	-	-	2017/18--14	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
