Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2017-10-13-prot-201718--17	i-146c1a9e88e0ad39-5	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 17	2017-10-13	Unicameralism	2017/18	-	-	2017/18--17	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4980750	Strandhäll, Annika	F	-	
ParlaMint-SE-en_2017-10-13-prot-201718--17	i-146c1a9e88e0ad39-11	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 17	2017-10-13	Unicameralism	2017/18	-	-	2017/18--17	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q5616883	Danielsson, Staffan	M	-	
ParlaMint-SE-en_2017-10-13-prot-201718--17	i-146c1a9e88e0ad39-21	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 17	2017-10-13	Unicameralism	2017/18	-	-	2017/18--17	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q18243853	Ling, Rasmus	M	-	
ParlaMint-SE-en_2017-10-13-prot-201718--17	i-146c1a9e88e0ad39-27	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 17	2017-10-13	Unicameralism	2017/18	-	-	2017/18--17	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4980750	Strandhäll, Annika	F	-	
ParlaMint-SE-en_2017-10-13-prot-201718--17	i-146c1a9e88e0ad39-35	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 17	2017-10-13	Unicameralism	2017/18	-	-	2017/18--17	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q5616883	Danielsson, Staffan	M	-	
ParlaMint-SE-en_2017-10-13-prot-201718--17	i-146c1a9e88e0ad39-48	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 17	2017-10-13	Unicameralism	2017/18	-	-	2017/18--17	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q18243853	Ling, Rasmus	M	-	
ParlaMint-SE-en_2017-10-13-prot-201718--17	i-146c1a9e88e0ad39-52	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 17	2017-10-13	Unicameralism	2017/18	-	-	2017/18--17	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4980750	Strandhäll, Annika	F	-	
ParlaMint-SE-en_2017-10-13-prot-201718--17	i-146c1a9e88e0ad39-58	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 17	2017-10-13	Unicameralism	2017/18	-	-	2017/18--17	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q5616883	Danielsson, Staffan	M	-	
ParlaMint-SE-en_2017-10-13-prot-201718--17	i-AVX6B739jbYbcMd3fp8Mup	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 17	2017-10-13	Unicameralism	2017/18	-	-	2017/18--17	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4980750	Strandhäll, Annika	F	-	
