Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2017-03-24-prot-201617--86	i-4e3b26a43b2d98d6-1	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 86	2017-03-24	Unicameralism	2016/17	-	-	2016/17--86	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2017-03-24-prot-201617--86	i-4e3b26a43b2d98d6-6	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 86	2017-03-24	Unicameralism	2016/17	-	-	2016/17--86	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4991052	Åkesson, Anette	F	-	
ParlaMint-SE-en_2017-03-24-prot-201617--86	i-4e3b26a43b2d98d6-15	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 86	2017-03-24	Unicameralism	2016/17	-	-	2016/17--86	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2017-03-24-prot-201617--86	i-4e3b26a43b2d98d6-20	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 86	2017-03-24	Unicameralism	2016/17	-	-	2016/17--86	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4991052	Åkesson, Anette	F	-	
ParlaMint-SE-en_2017-03-24-prot-201617--86	i-4e3b26a43b2d98d6-28	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 86	2017-03-24	Unicameralism	2016/17	-	-	2016/17--86	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2017-03-24-prot-201617--86	i-4e3b26a43b2d98d6-35	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 86	2017-03-24	Unicameralism	2016/17	-	-	2016/17--86	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4991052	Åkesson, Anette	F	-	
ParlaMint-SE-en_2017-03-24-prot-201617--86	i-4e3b26a43b2d98d6-41	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 86	2017-03-24	Unicameralism	2016/17	-	-	2016/17--86	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2017-03-24-prot-201617--86	i-4e3b26a43b2d98d6-48	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 86	2017-03-24	Unicameralism	2016/17	-	-	2016/17--86	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2017-03-24-prot-201617--86	i-4e3b26a43b2d98d6-52	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 86	2017-03-24	Unicameralism	2016/17	-	-	2016/17--86	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q21578777	Söder, Larry	M	-	
ParlaMint-SE-en_2017-03-24-prot-201617--86	i-4e3b26a43b2d98d6-61	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 86	2017-03-24	Unicameralism	2016/17	-	-	2016/17--86	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2017-03-24-prot-201617--86	i-4e3b26a43b2d98d6-67	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 86	2017-03-24	Unicameralism	2016/17	-	-	2016/17--86	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q21578777	Söder, Larry	M	-	
ParlaMint-SE-en_2017-03-24-prot-201617--86	i-4e3b26a43b2d98d6-73	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 86	2017-03-24	Unicameralism	2016/17	-	-	2016/17--86	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2017-03-24-prot-201617--86	i-4e3b26a43b2d98d6-80	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 86	2017-03-24	Unicameralism	2016/17	-	-	2016/17--86	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q21578777	Söder, Larry	M	-	
ParlaMint-SE-en_2017-03-24-prot-201617--86	i-4e3b26a43b2d98d6-87	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 86	2017-03-24	Unicameralism	2016/17	-	-	2016/17--86	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
