Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2021-10-06-20211-M2	ParlaMint-DK_20211006130003	Hansard of the session of the Danish Parliament (Folketinget), 20211, M2 (2021-10-06), preliminary version	2021-10-06	Unicameralism	Regeringen Mette Frederiksen	20211	M2	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2021-10-06-20211-M2	ParlaMint-DK_20211006130350	Hansard of the session of the Danish Parliament (Folketinget), 20211, M2 (2021-10-06), preliminary version	2021-10-06	Unicameralism	Regeringen Mette Frederiksen	20211	M2	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2021-10-06-20211-M2	ParlaMint-DK_20211006130445	Hansard of the session of the Danish Parliament (Folketinget), 20211, M2 (2021-10-06), preliminary version	2021-10-06	Unicameralism	Regeringen Mette Frederiksen	20211	M2	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2021-10-06-20211-M2	ParlaMint-DK_20211006130455	Hansard of the session of the Danish Parliament (Folketinget), 20211, M2 (2021-10-06), preliminary version	2021-10-06	Unicameralism	Regeringen Mette Frederiksen	20211	M2	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
