Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2021-01-12-20201-M44	ParlaMint-DK_20210112130010	Hansard of the session of the Danish Parliament (Folketinget), 20201, M44 (2021-01-12), preliminary version	2021-01-12	Unicameralism	Regeringen Mette Frederiksen	20201	M44	-	-	COVID	English	Chairperson	MP	notMinister	EL	Enhedslisten	-	Left to far-left	JuhlChristian	Juhl, Christian	M	1953	
ParlaMint-DK-en_2021-01-12-20201-M44	ParlaMint-DK_20210112130028	Hansard of the session of the Danish Parliament (Folketinget), 20201, M44 (2021-01-12), preliminary version	2021-01-12	Unicameralism	Regeringen Mette Frederiksen	20201	M44	-	-	COVID	English	Chairperson	MP	notMinister	EL	Enhedslisten	-	Left to far-left	JuhlChristian	Juhl, Christian	M	1953	
ParlaMint-DK-en_2021-01-12-20201-M44	ParlaMint-DK_20210112130218	Hansard of the session of the Danish Parliament (Folketinget), 20201, M44 (2021-01-12), preliminary version	2021-01-12	Unicameralism	Regeringen Mette Frederiksen	20201	M44	-	-	COVID	English	Chairperson	MP	notMinister	EL	Enhedslisten	-	Left to far-left	JuhlChristian	Juhl, Christian	M	1953	
ParlaMint-DK-en_2021-01-12-20201-M44	ParlaMint-DK_20210112130220	Hansard of the session of the Danish Parliament (Folketinget), 20201, M44 (2021-01-12), preliminary version	2021-01-12	Unicameralism	Regeringen Mette Frederiksen	20201	M44	-	-	COVID	English	Chairperson	MP	notMinister	EL	Enhedslisten	-	Left to far-left	JuhlChristian	Juhl, Christian	M	1953	
