Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2021-06-11-20201-M130	ParlaMint-DK_20210611100012	Hansard of the session of the Danish Parliament (Folketinget), 20201, M130 (2021-06-11), preliminary version	2021-06-11	Unicameralism	Regeringen Mette Frederiksen	20201	M130	-	-	COVID	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	Opposition	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2021-06-11-20201-M130	ParlaMint-DK_20210611100035	Hansard of the session of the Danish Parliament (Folketinget), 20201, M130 (2021-06-11), preliminary version	2021-06-11	Unicameralism	Regeringen Mette Frederiksen	20201	M130	-	-	COVID	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	Opposition	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2021-06-11-20201-M130	ParlaMint-DK_20210611100118	Hansard of the session of the Danish Parliament (Folketinget), 20201, M130 (2021-06-11), preliminary version	2021-06-11	Unicameralism	Regeringen Mette Frederiksen	20201	M130	-	-	COVID	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	Opposition	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
