Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2021-08-26-20201-M134	ParlaMint-DK_20210826110004	Hansard of the session of the Danish Parliament (Folketinget), 20201, M134 (2021-08-26), preliminary version	2021-08-26	Unicameralism	Regeringen Mette Frederiksen	20201	M134	-	-	COVID	English	Chairperson	notMP	notMinister	RV	Radikale Venstre	-	Centre to centre-left	PetersenRasmusHelveg	Petersen, Rasmus Helveg	M	1968	
ParlaMint-DK-en_2021-08-26-20201-M134	ParlaMint-DK_20210826110009	Hansard of the session of the Danish Parliament (Folketinget), 20201, M134 (2021-08-26), preliminary version	2021-08-26	Unicameralism	Regeringen Mette Frederiksen	20201	M134	-	-	COVID	English	Chairperson	notMP	notMinister	RV	Radikale Venstre	-	Centre to centre-left	PetersenRasmusHelveg	Petersen, Rasmus Helveg	M	1968	
ParlaMint-DK-en_2021-08-26-20201-M134	ParlaMint-DK_20210826110142	Hansard of the session of the Danish Parliament (Folketinget), 20201, M134 (2021-08-26), preliminary version	2021-08-26	Unicameralism	Regeringen Mette Frederiksen	20201	M134	-	-	COVID	English	Chairperson	notMP	notMinister	RV	Radikale Venstre	-	Centre to centre-left	PetersenRasmusHelveg	Petersen, Rasmus Helveg	M	1968	
