Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2021-10-05-20211-M1	ParlaMint-DK_20211005115924	Hansard of the session of the Danish Parliament (Folketinget), 20211, M1 (2021-10-05), preliminary version	2021-10-05	Unicameralism	Regeringen Mette Frederiksen	20211	M1	-	-	COVID	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2021-10-05-20211-M1	ParlaMint-DK_20211005120135	Hansard of the session of the Danish Parliament (Folketinget), 20211, M1 (2021-10-05), preliminary version	2021-10-05	Unicameralism	Regeringen Mette Frederiksen	20211	M1	-	-	COVID	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2021-10-05-20211-M1	ParlaMint-DK_20211005120146	Hansard of the session of the Danish Parliament (Folketinget), 20211, M1 (2021-10-05), preliminary version	2021-10-05	Unicameralism	Regeringen Mette Frederiksen	20211	M1	-	-	COVID	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2021-10-05-20211-M1	ParlaMint-DK_20211005120206	Hansard of the session of the Danish Parliament (Folketinget), 20211, M1 (2021-10-05), preliminary version	2021-10-05	Unicameralism	Regeringen Mette Frederiksen	20211	M1	-	-	COVID	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2021-10-05-20211-M1	ParlaMint-DK_20211005120238	Hansard of the session of the Danish Parliament (Folketinget), 20211, M1 (2021-10-05), preliminary version	2021-10-05	Unicameralism	Regeringen Mette Frederiksen	20211	M1	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2021-10-05-20211-M1	ParlaMint-DK_20211005120400	Hansard of the session of the Danish Parliament (Folketinget), 20211, M1 (2021-10-05), preliminary version	2021-10-05	Unicameralism	Regeringen Mette Frederiksen	20211	M1	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2021-10-05-20211-M1	ParlaMint-DK_20211005120429	Hansard of the session of the Danish Parliament (Folketinget), 20211, M1 (2021-10-05), preliminary version	2021-10-05	Unicameralism	Regeringen Mette Frederiksen	20211	M1	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2021-10-05-20211-M1	ParlaMint-DK_20211005120444	Hansard of the session of the Danish Parliament (Folketinget), 20211, M1 (2021-10-05), preliminary version	2021-10-05	Unicameralism	Regeringen Mette Frederiksen	20211	M1	-	-	COVID	English	Regular	MP	Minister	S	Socialdemokratiet	Coalition	Centre-left	FrederiksenMette	Frederiksen, Mette	F	1977	
ParlaMint-DK-en_2021-10-05-20211-M1	ParlaMint-DK_20211005124639	Hansard of the session of the Danish Parliament (Folketinget), 20211, M1 (2021-10-05), preliminary version	2021-10-05	Unicameralism	Regeringen Mette Frederiksen	20211	M1	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2021-10-05-20211-M1	ParlaMint-DK_20211005124650	Hansard of the session of the Danish Parliament (Folketinget), 20211, M1 (2021-10-05), preliminary version	2021-10-05	Unicameralism	Regeringen Mette Frederiksen	20211	M1	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2021-10-05-20211-M1	ParlaMint-DK_20211005124705	Hansard of the session of the Danish Parliament (Folketinget), 20211, M1 (2021-10-05), preliminary version	2021-10-05	Unicameralism	Regeringen Mette Frederiksen	20211	M1	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
